# epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60390.000000,764251200.000000,-280841.731718,252231.161903,146706.134039,-1.346248,-2.245965,-0.647237
60390.001000,764251286.400000,-280955.937440,252037.782090,146648.265333,-1.297655,-2.229937,-0.691725
60390.002476,764251413.957235,-281117.037613,251755.094394,146556.169044,-1.228899,-2.201546,-0.751029
60390.005509,764251675.971674,-281421.793057,251187.237080,146345.713973,-1.100281,-2.130792,-0.850693
60390.010824,764252135.219808,-281883.004530,250240.869878,145925.952938,-0.916915,-1.988924,-0.966526
60390.016543,764252629.321264,-282298.177658,249296.038707,145429.986907,-0.771431,-1.837220,-1.033266
60390.023156,764253200.690785,-282702.838101,248292.401228,144828.493205,-0.652293,-1.679597,-1.066344
60390.031099,764253886.941300,-283114.941334,247196.408938,144093.099893,-0.555414,-1.519704,-1.072616
60390.040802,764254725.306099,-283546.137301,245991.039386,143199.383329,-0.479169,-1.361909,-1.056616
60390.052625,764255746.772601,-284004.121259,244680.058198,142136.613819,-0.422500,-1.211383,-1.022754
60390.065686,764256875.240498,-284458.357025,243388.939902,141006.600702,-0.385910,-1.082224,-0.979582
60390.080428,764258148.954333,-284933.750025,242086.078425,139790.423910,-0.362981,-0.968139,-0.930255
60390.097525,764259626.121002,-285459.127889,240735.843592,138457.167983,-0.350205,-0.864156,-0.875441
60390.117681,764261367.642238,-286064.047704,239318.236939,136985.715508,-0.345960,-0.767704,-0.815197
60390.141586,764263433.052151,-286781.084963,237829.295951,135370.855282,-0.349540,-0.677668,-0.749471
60390.170287,764265912.799348,-287660.755439,236258.560138,133603.329408,-0.360930,-0.592577,-0.677134
60390.204793,764268894.101464,-288765.076330,234616.747454,131705.597332,-0.380805,-0.512030,-0.596961
60390.246554,764272502.263006,-290191.854566,232913.294546,129717.155330,-0.411065,-0.435247,-0.506026
60390.297167,764276875.259278,-292083.818265,231176.405761,127737.840414,-0.455726,-0.362093,-0.399415
60390.355575,764281921.681737,-294539.447378,229522.342026,126036.409974,-0.520195,-0.296316,-0.273687
60390.413536,764286929.500309,-297345.747582,228167.817282,125002.535497,-0.605037,-0.247423,-0.135999
60390.440195,764289232.849672,-298795.356798,227617.492517,124770.526673,-0.655166,-0.231219,-0.064282
60390.478312,764292526.154122,-301096.058596,226880.937711,124747.111514,-0.746839,-0.218699,0.053747
60390.509048,764295181.742502,-303207.184582,226296.487940,125038.352559,-0.848598,-0.224930,0.169491
60390.528696,764296879.343029,-304718.440681,225900.797430,125399.402445,-0.935552,-0.244013,0.258209
60390.548753,764298612.273042,-306436.522595,225444.884276,125937.155747,-1.053471,-0.287730,0.365710
60390.565537,764300062.368324,-308057.098904,224979.885261,126542.897229,-1.188804,-0.361692,0.472507
60390.579601,764301277.497109,-309591.115287,224476.766776,127177.656166,-1.344038,-0.478209,0.573550
60390.590974,764302260.185582,-310990.543875,223931.656226,127781.760586,-1.511453,-0.646788,0.654085
60390.598568,764302916.269632,-312026.093689,223451.817546,128224.644744,-1.648606,-0.828111,0.691836
60390.604555,764303433.570089,-312909.409332,222973.150027,128584.458860,-1.767153,-1.033557,0.692905
60390.610698,764303964.274185,-313878.476004,222351.889705,128940.456569,-1.880888,-1.321997,0.635045
60390.616041,764304425.962294,-314762.677857,221670.434087,129205.666662,-1.938942,-1.638520,0.496628
60390.619286,764304706.291756,-315306.366856,221182.062180,129326.383678,-1.933312,-1.845817,0.357117
60390.621767,764304920.670533,-315717.657258,220769.814889,129388.767159,-1.898999,-1.998177,0.220860
60390.624242,764305134.529477,-316117.537914,220327.700500,129419.530407,-1.835839,-2.132585,0.063936
60390.626543,764305333.357372,-316474.625349,219893.288147,129416.709417,-1.752411,-2.232500,-0.093423
60390.628939,764305540.303581,-316826.487126,219423.238940,129380.161015,-1.645210,-2.304477,-0.259323
60390.632055,764305809.570865,-317248.506561,218795.750812,129282.449303,-1.487170,-2.346828,-0.462821
60390.635420,764306100.272069,-317655.226978,218113.907036,129119.614869,-1.311756,-2.335613,-0.651109
60390.638746,764306387.689685,-318008.507112,217449.392992,128910.396198,-1.149291,-2.283071,-0.798220
60390.642799,764306737.871160,-318379.981270,216665.904075,128606.694343,-0.977566,-2.187892,-0.927998
60390.647918,764307180.135084,-318772.431370,215728.476285,128171.389191,-0.805079,-2.050268,-1.030999
60390.653753,764307684.283312,-319139.698018,214734.080251,127634.067472,-0.659862,-1.896549,-1.092967
60390.660510,764308268.056771,-319488.214464,213674.386447,126986.027519,-0.541483,-1.737872,-1.121545
60390.668397,764308949.519982,-319823.170378,212544.942213,126219.615192,-0.447921,-1.581900,-1.123899
60390.678124,764309789.901893,-320165.798469,211283.392624,125281.935219,-0.373259,-1.426411,-1.105072
60390.690156,764310829.509532,-320522.006214,209882.067272,124151.404690,-0.316980,-1.275950,-1.068482
60390.702839,764311925.312350,-320848.546740,208554.295000,123004.132675,-0.282098,-1.152348,-1.025173
60390.717120,764313159.160772,-321181.474449,207202.897238,121769.514960,-0.259824,-1.042462,-0.976296
60390.733570,764314580.449936,-321540.453097,205795.315805,120420.538754,-0.247064,-0.942107,-0.922486
60390.752784,764316240.538564,-321945.493502,204311.561849,118938.416142,-0.242289,-0.849016,-0.863864
60390.775459,764318199.621117,-322421.512284,202737.057682,117309.364522,-0.244788,-0.761710,-0.800114
60390.802409,764320528.130231,-323001.677915,201063.125997,115528.436648,-0.254462,-0.679209,-0.730538
60390.834660,764323314.582980,-323733.792045,199284.110677,113601.159260,-0.271868,-0.600685,-0.653755
60390.873410,764326662.648557,-324687.050209,197403.432120,111558.079357,-0.298476,-0.525614,-0.567523
60390.920332,764330716.694572,-325973.908090,195424.629548,109461.132814,-0.337635,-0.453393,-0.467365
60390.976745,764335590.805541,-327755.896530,193388.248788,107476.125767,-0.395876,-0.385054,-0.346424
60391.037654,764340853.265375,-330045.437312,191517.233496,106016.883601,-0.478615,-0.329005,-0.205272
60391.076927,764344246.489330,-331785.091912,190447.024886,105492.720165,-0.549838,-0.303434,-0.101336
60391.104468,764346626.073831,-333166.336769,189739.195360,105348.518891,-0.613420,-0.292745,-0.018091
60391.132479,764349046.191606,-334746.455268,189034.214373,105420.028117,-0.696144,-0.292077,0.079875
60391.159156,764351351.094083,-336466.537988,188346.013815,105728.734073,-0.802047,-0.309044,0.191650
60391.181631,764353292.929877,-338137.573526,187711.395447,106208.637221,-0.925986,-0.350576,0.306385
60391.196053,764354538.962201,-339355.297260,187244.485188,106643.338643,-1.033210,-0.403763,0.393266
60391.210816,764355814.542892,-340761.490808,186673.513814,107207.993018,-1.179056,-0.501392,0.493834
60391.222980,764356865.474104,-342081.461531,186077.725153,107772.702126,-1.340448,-0.646018,0.580249
60391.233237,764357751.674031,-343344.063862,185420.034489,108314.716669,-1.515271,-0.856799,0.637750
60391.239424,764358286.201880,-344186.011393,184912.864109,108659.125208,-1.636186,-1.051588,0.645185
60391.245830,764358839.750130,-345126.369131,184257.314154,109006.834168,-1.758515,-1.331823,0.598176
60391.251438,764359324.286082,-345998.160607,183537.509735,109269.936084,-1.830260,-1.649441,0.470423
60391.256265,764359741.293039,-346762.838407,182786.652920,109426.558346,-1.822750,-1.951931,0.264610
60391.258344,764359920.891144,-347087.523775,182424.828191,109463.764857,-1.789595,-2.075718,0.147081
60391.261015,764360151.689414,-347492.849696,181929.167573,109478.348852,-1.717270,-2.214743,-0.023716
60391.263402,764360357.969985,-347838.103317,181461.897354,109456.720411,-1.626411,-2.310583,-0.186774
60391.266447,764360621.046980,-348247.732474,180842.994993,109380.209704,-1.483838,-2.385356,-0.393185
60391.270215,764360946.614176,-348699.226995,180061.138871,109213.865850,-1.288523,-2.405317,-0.621930
60391.273984,764361272.223941,-349087.369033,179283.502704,108980.325409,-1.098172,-2.362870,-0.804215
60391.278392,764361653.057604,-349467.347955,178400.811393,108643.122234,-0.903284,-2.267137,-0.956410
60391.283302,764362077.320706,-349812.071663,177466.075062,108212.708461,-0.729192,-2.137601,-1.063262
60391.289008,764362570.278017,-350132.164716,176449.944183,107669.928680,-0.577519,-1.986433,-1.130906
60391.295634,764363142.778500,-350424.808991,175359.223203,107011.319904,-0.452424,-1.827579,-1.163868
60391.303204,764363796.805706,-350686.650437,174215.965550,106247.047651,-0.354697,-1.673172,-1.169232
60391.312158,764364570.444951,-350929.341969,172981.484126,105347.409546,-0.278210,-1.523535,-1.153907
60391.323947,764365588.990761,-351178.073588,171512.245017,104189.152164,-0.215653,-1.368145,-1.118782
60391.335855,764366617.903421,-351378.866343,170170.154358,103058.988926,-0.177796,-1.245336,-1.077641
60391.348909,764367745.732447,-351564.208589,168828.394077,101869.507383,-0.153110,-1.137993,-1.031810
60391.363685,764369022.409368,-351748.780641,167440.068944,100584.474037,-0.137747,-1.040449,-0.981703
60391.380575,764370481.693997,-351943.146678,165989.634001,99191.678206,-0.129980,-0.950634,-0.927789
60391.400231,764372179.964476,-352161.979715,164449.379077,97666.159824,-0.128825,-0.866284,-0.869526
60391.423198,764374164.296900,-352421.798214,162812.161238,96003.920295,-0.133949,-0.786685,-0.806685
60391.450324,764376507.983074,-352748.361376,161060.611544,94194.654640,-0.145516,-0.710706,-0.738150
60391.482576,764379294.596077,-353178.983759,159185.488879,92244.441794,-0.164309,-0.637691,-0.662401
60391.521338,764382643.585172,-353774.498367,157172.767232,90171.028440,-0.192210,-0.566832,-0.576513
60391.567969,764386672.514290,-354627.917388,155032.313003,88050.470427,-0.232738,-0.498232,-0.476363
60391.623889,764391504.051635,-355892.337569,152789.323284,86041.323224,-0.293147,-0.432932,-0.354344
60391.684848,764396770.846307,-357654.912480,150658.454343,84549.996743,-0.381091,-0.379351,-0.208614
60391.721173,764399909.353068,-358956.981346,149504.315617,84048.610688,-0.451653,-0.357713,-0.108650
60391.746111,764402064.008260,-359993.766152,148743.466578,83896.939787,-0.512865,-0.349705,-0.030560
60391.774171,764404488.333217,-361338.959373,147896.065046,83942.495208,-0.601070,-0.351947,0.071026
60391.798992,764406632.887128,-362734.865225,147123.884807,84206.462981,-0.706189,-0.372149,0.178482
60391.820415,764408483.891917,-364151.437330,146398.702994,84637.136655,-0.831313,-0.417579,0.290322
60391.834253,764409679.490660,-365207.425021,145868.538698,85033.623893,-0.939751,-0.474332,0.374613
60391.848383,764410900.313063,-366439.458098,145233.390856,85548.555870,-1.085877,-0.576202,0.470272
60391.860161,764411917.874052,-367623.130542,144577.677717,86068.597135,-1.247852,-0.726344,0.550644
60391.870315,764412795.249849,-368793.132299,143851.603418,86576.049089,-1.425083,-0.948039,0.599720
60391.876307,764413312.897365,-369561.059177,143312.242603,86887.633937,-1.542607,-1.146280,0.597950
60391.882483,764413846.533935,-370415.723024,142629.936119,87194.576528,-1.656950,-1.424558,0.539368
60391.888037,764414326.396154,-371228.371351,141872.539007,87423.748196,-1.719478,-1.741037,0.398251
60391.891697,764414642.608386,-371772.410901,141286.291141,87526.344876,-1.713271,-1.966904,0.241618
60391.895482,764414969.612307,-372323.745689,140606.690720,87571.416413,-1.647878,-2.183817,0.025956
60391.898777,764415254.326959,-372778.446568,139962.790433,87548.247923,-1.538553,-2.330781,-0.191423
60391.901717,764415508.309825,-373153.143010,139359.274587,87474.364104,-1.407867,-2.413398,-0.389444
60391.905085,764415799.327624,-373538.337788,138650.387344,87329.832284,-1.237338,-2.448167,-0.599251
60391.908885,764416127.662531,-373912.430705,137849.113912,87099.567441,-1.042956,-2.423074,-0.795256
60391.912908,764416475.279496,-374241.758050,137018.812473,86794.777985,-0.856244,-2.348030,-0.949468
60391.917227,764416848.381197,-374528.802285,136162.275183,86418.100995,-0.688266,-2.240799,-1.061561
60391.922442,764417298.980895,-374801.480471,135183.749918,85919.663572,-0.529482,-2.102501,-1.142632
60391.928747,764417843.733717,-375049.546295,134082.159997,85282.413790,-0.389372,-1.944634,-1.189900
60391.935931,764418464.423946,-375254.637445,132925.159408,84537.499161,-0.278505,-1.787766,-1.205519
60391.943735,764419138.711699,-375413.001473,131769.320061,83725.971722,-0.196503,-1.645022,-1.198716
60391.953566,764419988.095240,-375548.857982,130436.482056,82717.556053,-0.128501,-1.498832,-1.173797
60391.964841,764420962.265659,-375648.280271,129043.776338,81591.927382,-0.079542,-1.365618,-1.136297
60391.975902,764421917.892231,-375708.840452,127790.627910,80524.818829,-0.049475,-1.260614,-1.096896
60391.987622,764422930.518379,-375748.019318,126561.816397,79435.191678,-0.029516,-1.169274,-1.055354
60392.000132,764424011.374365,-375772.427140,125343.067172,78317.804560,-0.016834,-1.088319,-1.012563
60392.013430,764425160.343484,-375787.175032,124135.282975,77179.480295,-0.009723,-1.016108,-0.969299
60392.027608,764426385.311548,-375796.978612,122931.611040,76019.079150,-0.006962,-0.950873,-0.925703
60392.042851,764427702.327799,-375806.323043,121719.761802,74829.312198,-0.007768,-0.890960,-0.881488
60392.060254,764429205.916297,-375820.810060,120425.307341,73540.037604,-0.011992,-0.832383,-0.833916
60392.080597,764430963.556130,-375848.557758,119015.012462,72120.798959,-0.020054,-0.773942,-0.781542
60392.105624,764433125.922142,-375905.644686,117409.157679,70497.103069,-0.033265,-0.713082,-0.720826
60392.135838,764435736.376307,-376017.261670,115630.508133,68706.759105,-0.052842,-0.651474,-0.651421
60392.173065,764438952.822307,-376232.065769,113639.752311,66744.118228,-0.081536,-0.588389,-0.569397
60392.217676,764442807.206355,-376622.973466,111495.759153,64735.759601,-0.122590,-0.526191,-0.472695
60392.270846,764447401.102854,-377319.890988,109221.196208,62834.012639,-0.183324,-0.466412,-0.354081
60392.327839,764452325.261084,-378424.541103,107050.708863,61427.849209,-0.270131,-0.418022,-0.213749
60392.362542,764455323.659987,-379336.377745,105828.850393,60931.221431,-0.341103,-0.398591,-0.115308
60392.385332,764457292.646255,-380063.731053,105051.280242,60774.960502,-0.399654,-0.392316,-0.042030
60392.413597,764459734.789215,-381147.679761,104091.390870,60796.639087,-0.492637,-0.396675,0.062828
60392.437090,764461764.540611,-382248.116477,103267.636009,61026.561655,-0.596930,-0.418945,0.166789
60392.457553,764463532.593712,-383407.439995,102490.528523,61414.208312,-0.721154,-0.466220,0.274846
60392.474327,764464981.881476,-384548.914530,101764.065933,61885.912024,-0.861493,-0.544847,0.378400
60392.487847,764466149.992147,-385640.615007,101065.781603,62380.920919,-1.015185,-0.662068,0.469645
60392.498976,764467111.561695,-386693.380217,100355.361338,62867.268290,-1.181353,-0.830517,0.539274
60392.506276,764467742.227691,-387479.031472,99780.234974,63217.405238,-1.312955,-1.004232,0.566797
60392.512272,764468260.299685,-388189.420517,99210.551679,63510.850581,-1.429922,-1.205408,0.559484
60392.518384,764468788.388721,-388974.732573,98504.376511,63792.457064,-1.540223,-1.481994,0.493878
60392.523926,764469267.174807,-389728.515944,97721.853291,63997.640934,-1.597569,-1.794790,0.345876
60392.527406,764469567.884786,-390208.734208,97150.508635,64080.144280,-1.588923,-2.004884,0.194973
60392.529921,764469785.137360,-390550.444021,96699.042408,64107.993929,-1.552185,-2.149147,0.057787
60392.532803,764470034.185032,-390928.215780,96145.387654,64100.403782,-1.475433,-2.291801,-0.121867
60392.535758,764470289.454254,-391291.008616,95545.724821,64044.375062,-1.361773,-2.398963,-0.317723
60392.538861,764470557.564698,-391636.964102,94893.097305,63932.006512,-1.215609,-2.460515,-0.518110
60392.542627,764470882.971176,-392001.442887,94089.334094,63727.546035,-1.023983,-2.468475,-0.731646
60392.546827,764471245.851098,-392335.316113,93201.997518,63426.793532,-0.819692,-2.413290,-0.916142
60392.551921,764471685.962698,-392648.039533,92164.065161,62987.831617,-0.609171,-2.297978,-1.066512
60392.556971,764472122.277794,-392876.624644,91189.856359,62501.422308,-0.445787,-2.166981,-1.154856
60392.562905,764472635.034145,-393066.508685,90117.603151,61893.731632,-0.302541,-2.017299,-1.208385
60392.569986,764473246.782944,-393212.395486,88933.331476,61145.975189,-0.181934,-1.858468,-1.230777
60392.577153,764473866.034771,-393297.317067,87825.998140,60383.530196,-0.097375,-1.721744,-1.228811
60392.585302,764474570.067299,-393340.985757,86660.996337,59523.840763,-0.030883,-1.591853,-1.211557
60392.596273,764475518.006398,-393340.334681,85221.683314,58391.052310,0.027631,-1.450403,-1.177150
60392.605767,764476338.264710,-393303.348392,84073.942321,57439.146931,0.060424,-1.351110,-1.143569
60392.617319,764477336.351782,-393229.004899,82776.868490,56318.581326,0.086529,-1.251320,-1.101897
60392.630765,764478498.058720,-393116.863295,81380.221014,55066.176704,0.104828,-1.156380,-1.054570
60392.646464,764479854.510226,-392966.120950,79874.972659,53671.639060,0.116001,-1.066124,-1.002131
60392.664843,764481442.439063,-392777.369107,78252.548805,52126.376810,0.120538,-0.980306,-0.944845
60392.686386,764483303.708334,-392553.781561,76506.545264,50426.344608,0.118715,-0.898677,-0.882728
60392.711561,764485478.858972,-392303.472759,74638.961156,48580.132504,0.110589,-0.821193,-0.815697
60392.740907,764488014.325883,-392040.715061,72653.270058,46604.944835,0.095914,-0.747631,-0.743199
60392.774803,764490943.014371,-391790.650407,70568.849885,44544.535131,0.074092,-0.678113,-0.664569
60392.813276,764494267.077436,-391592.686811,68426.158215,42478.287215,0.044126,-0.613161,-0.579065
60392.855199,764497889.229925,-391501.367773,66314.723134,40547.198306,0.005117,-0.554495,-0.487141
60392.892053,764501073.387483,-391548.257793,64620.151317,39126.574297,-0.035732,-0.511036,-0.404685
60392.938231,764505063.175125,-391811.392862,62674.416915,37727.657445,-0.098779,-0.466088,-0.294936
60392.986263,764509213.163835,-392392.455194,60816.047908,36764.166968,-0.185933,-0.432056,-0.166062
60393.012758,764511502.326842,-392887.698302,59840.635178,36475.823107,-0.249058,-0.421407,-0.084226
60393.035471,764513464.721505,-393440.190641,59016.605553,36386.774908,-0.316504,-0.419896,-0.004857
60393.054538,764515112.082732,-394017.534133,58320.101808,36439.741565,-0.386967,-0.427407,0.070743
60393.076201,764516983.726382,-394833.646538,57500.049193,36662.549949,-0.490118,-0.452797,0.170080
60393.095618,764518661.417858,-395755.471514,56702.612880,37033.583292,-0.615389,-0.504119,0.275058
60393.111669,764520048.211553,-396702.061724,55951.668696,37482.964411,-0.757077,-0.587667,0.374921
60393.124724,764521176.189712,-397639.468199,55225.687385,37954.650453,-0.912368,-0.711224,0.461369
60393.135635,764522118.828461,-398575.878915,54478.539484,38420.830929,-1.081022,-0.889612,0.524169
60393.142567,764522717.783548,-399260.759354,53896.226481,38741.821427,-1.208141,-1.065184,0.542984
60393.149864,764523348.231228,-400066.933523,53146.018729,39078.895989,-1.348515,-1.330822,0.514413
60393.155779,764523859.322460,-400781.626181,52394.428863,39320.733545,-1.441645,-1.621681,0.417002
60393.161081,764524317.392417,-401451.178643,51582.353712,39474.436987,-1.468730,-1.928062,0.237188
60393.163237,764524503.647119,-401723.585469,51211.440872,39509.307617,-1.453331,-2.054121,0.134420
60393.166761,764524808.162432,-402157.299461,50556.488892,39520.552533,-1.386246,-2.242013,-0.066543
60393.169652,764525057.945185,-402492.487840,49980.565455,39481.084644,-1.292082,-2.363189,-0.251200
60393.173094,764525355.363274,-402855.467993,49262.739973,39373.105011,-1.143507,-2.453399,-0.473462
60393.176921,764525685.973130,-403202.594554,48444.960456,39178.608997,-0.954481,-2.481822,-0.697063
60393.180850,764526025.444668,-403493.473283,47606.795147,38909.177205,-0.761296,-2.447452,-0.882029
60393.185458,764526423.611421,-403755.369204,46649.028288,38524.977981,-0.559952,-2.357227,-1.037328
60393.190430,764526853.190427,-403956.488465,45662.349185,38054.671993,-0.383498,-2.234425,-1.143184
60393.195732,764527311.203912,-404097.433875,44669.897097,37514.980267,-0.238719,-2.100064,-1.206683
60393.202492,764527895.325585,-404195.311863,43490.339164,36797.883791,-0.104400,-1.941928,-1.242186
