# epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60390.000000,764251200.000000,-279077.269273,252757.216883,145049.670755,-0.719984,-0.583631,-0.297165
60390.001000,764251286.400000,-279139.469564,252706.785363,145023.992366,-0.719838,-0.583766,-0.297242
60390.002476,764251413.957235,-279231.276296,252632.309119,144986.069665,-0.719622,-0.583965,-0.297357
60390.005509,764251675.971674,-279419.769459,252479.248269,144908.127160,-0.719178,-0.584374,-0.297591
60390.010824,764252135.219808,-279749.871913,252210.711015,144771.364388,-0.718400,-0.585091,-0.298003
60390.016543,764252629.321264,-280104.627107,251921.426670,144624.011616,-0.717561,-0.585860,-0.298445
60390.023156,764253200.690785,-280514.342410,251586.429771,144453.343576,-0.716590,-0.586750,-0.298955
60390.031099,764253886.941300,-281005.702364,251183.406581,144247.975353,-0.715423,-0.587816,-0.299567
60390.040802,764254725.306099,-281604.888685,250690.057296,143996.515564,-0.713994,-0.589116,-0.300314
60390.052625,764255746.772601,-282333.318290,250087.487652,143689.291071,-0.712249,-0.590696,-0.301222
60390.065686,764256875.240498,-283135.977860,249419.923095,143348.807242,-0.710316,-0.592437,-0.302222
60390.080428,764258148.954333,-284039.324479,248664.079165,142963.145107,-0.708128,-0.594396,-0.303348
60390.097525,764259626.121002,-285083.469298,247784.383330,142514.087003,-0.705583,-0.596660,-0.304650
60390.117681,764261367.642238,-286309.636829,246742.970071,141982.199852,-0.702572,-0.599319,-0.306179
60390.141586,764263433.052151,-287757.033612,245501.888968,141347.948057,-0.698984,-0.602456,-0.307985
60390.170287,764265912.799348,-289484.976010,244003.304528,140581.547750,-0.694656,-0.606199,-0.310141
60390.204793,764268894.101464,-291548.157403,242189.371187,139653.080450,-0.689419,-0.610668,-0.312716
60390.246554,764272502.263006,-294024.193665,239976.296501,138519.162610,-0.683036,-0.616028,-0.315809
60390.297167,764276875.259278,-296994.075295,237268.328291,137130.003305,-0.675234,-0.622454,-0.319520
60390.355575,764281921.681737,-300378.683774,234108.649112,135506.867475,-0.666140,-0.629774,-0.323753
60390.413536,764286929.500309,-303691.797493,230936.886604,133875.165538,-0.657021,-0.636934,-0.327900
60390.440195,764289232.849672,-305200.285048,229466.049189,133117.719043,-0.652796,-0.640192,-0.329789
60390.478312,764292526.154122,-307340.150449,227350.080490,132027.199547,-0.646722,-0.644813,-0.332471
60390.509048,764295181.742502,-309051.041530,225632.812425,131141.440745,-0.641795,-0.648506,-0.334617
60390.528696,764296879.343029,-310137.870276,224529.915493,130572.237158,-0.638632,-0.650852,-0.335980
60390.548753,764298612.273042,-311241.770555,223399.969558,129988.805839,-0.635393,-0.653233,-0.337365
60390.565537,764300062.368324,-312161.181136,222451.279628,129498.756346,-0.632675,-0.655217,-0.338520
60390.579601,764301277.497109,-312928.575243,221654.100428,129086.825518,-0.630391,-0.656872,-0.339483
60390.590974,764302260.185582,-313547.143897,221007.943954,128752.837222,-0.628540,-0.658206,-0.340260
60390.598568,764302916.269632,-313959.113070,220575.813853,128529.428038,-0.627302,-0.659095,-0.340778
60390.604555,764303433.570089,-314283.364288,220234.683036,128353.038102,-0.626326,-0.659794,-0.341185
60390.610698,764303964.274185,-314615.491713,219884.337704,128171.858922,-0.625322,-0.660510,-0.341603
60390.616041,764304425.962294,-314903.994062,219579.244513,128014.061350,-0.624449,-0.661132,-0.341965
60390.619286,764304706.291756,-315078.971137,219393.856871,127918.167611,-0.623918,-0.661509,-0.342185
60390.621767,764304920.670533,-315212.682459,219252.012440,127844.792375,-0.623512,-0.661797,-0.342353
60390.624242,764305134.529477,-315345.982804,219110.450404,127771.559175,-0.623107,-0.662085,-0.342521
60390.626543,764305333.357372,-315469.836400,218978.782925,127703.441027,-0.622730,-0.662352,-0.342676
60390.628939,764305540.303581,-315598.667443,218841.682983,127632.508690,-0.622338,-0.662630,-0.342838
60390.632055,764305809.570865,-315766.173869,218663.209898,127540.165187,-0.621827,-0.662991,-0.343049
60390.635420,764306100.272069,-315946.859514,218470.421093,127440.407432,-0.621275,-0.663380,-0.343276
60390.638746,764306387.689685,-316125.346512,218279.698650,127341.711586,-0.620729,-0.663765,-0.343500
60390.642799,764306737.871160,-316342.597944,218047.178471,127221.376239,-0.620064,-0.664233,-0.343774
60390.647918,764307180.135084,-316616.643929,217753.281446,127069.261327,-0.619223,-0.664824,-0.344118
60390.653753,764307684.283312,-316928.582291,217417.942152,126895.675790,-0.618264,-0.665496,-0.344511
60390.660510,764308268.056771,-317289.183590,217029.216228,126694.427221,-0.617151,-0.666273,-0.344964
60390.668397,764308949.519982,-317709.306846,216574.866855,126459.166693,-0.615852,-0.667179,-0.345493
