epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
59091.50000,652060869.1826417446136475,-139319390.1688305437564850,53491085.0987847223877907,23188403.9085261002182961,-11.0047409067181476,-25.1032426972486995,-10.8830941973716353
59091.75000,652082469.1826417446136475,-139555844.1432461738586426,52948381.2384497597813606,22953124.1399011351168156,-10.8891141735550452,-25.1470448778771036,-10.9020388453396677
59092.00000,652104069.1826417446136475,-139789798.5440375506877899,52404735.7773650586605072,22717437.1565032899379730,-10.7732989542358801,-25.1904279852971200,-10.9207993121010514
59092.25000,652125669.1826417446136475,-140021249.3029887080192566,51860157.7656818181276321,22481346.9339824840426445,-10.6572955281586896,-25.2333921733610573,-10.9393758381551631
59092.50000,652147269.1826417446136475,-140250192.3575372993946075,51314656.2512385696172714,22244857.4431965090334415,-10.5411041405032613,-25.2759375023876238,-10.9577686266251799
59092.75000,652168869.1826417446136475,-140476623.6501058638095856,50768240.2815777510404587,22007972.6510237194597721,-10.4247250087233834,-25.3180639395724434,-10.9759778427895522
59093.00000,652190469.1826417446136475,-140700539.1275721192359924,50220918.9059496149420738,21770696.5211840830743313,-10.3081583289357699,-25.3597713597448582,-10.9940036137763837
59093.25000,652212069.1826417446136475,-140921934.7408758699893951,49672701.1772959902882576,21533033.0150650180876255,-10.1914042821784072,-25.4010595464768265,-11.0118460284260102
59093.50000,652233669.1826417446136475,-141140806.4447595477104187,49123596.1542062684893608,21294986.0925483442842960,-10.0744630405062221,-25.4419281935452766,-11.0295051373255575
59093.75000,652255269.1826417446136475,-141357150.1976383030414581,48573612.9028380885720253,21056559.7128346040844917,-9.9573347728887409,-25.4823769067442925,-11.0469809530173144
59094.00000,652276869.1826417446136475,-141570961.9615947902202606,48022760.4987950325012207,20817757.8352610468864441,-9.8400196508720068,-25.5224052060376465,-11.0642734503805098
59094.25000,652298469.1826417446136475,-141782237.7024936676025391,47471048.0289544314146042,20578584.4201094619929790,-9.7225178539662540,-25.5620125280364974,-11.0813825671834856
59094.50000,652320069.1826417446136475,-141990973.3902089893817902,46918484.5932382717728615,20339043.4294003322720528,-9.6048295747211228,-25.6011982287807598,-11.0983082048006008
59094.75000,652341669.1826417446136475,-142197164.9989576935768127,46365079.3063209354877472,20099138.8276697844266891,-9.4869550234519942,-25.6399615867970638,-11.1150502290854210
59095.00000,652363269.1826417446136475,-142400808.5077307224273682,45810841.2992682456970215,19858874.5827260985970497,-9.3688944325837369,-25.6783018064005901,-11.1316084713890788
59095.25000,652384869.1826417446136475,-142601899.9008140265941620,45255779.7211028933525085,19618254.6663827486336231,-9.2506480605820975,-25.7162180212032965,-11.1479827297101490
59095.50000,652406469.1826417446136475,-142800435.1683894991874695,44699903.7402922511100769,19377283.0551653578877449,-9.1322161954477377,-25.7537092977867417,-11.1641727699600271
59095.75000,652428069.1826417446136475,-142996410.3072065114974976,44143222.5461553633213043,19135963.7309902086853981,-9.0135991577533972,-25.7907746394942450,-11.1801783273257502
59096.00000,652449669.1826417446136475,-143189821.3213141858577728,43585745.3501873165369034,18894300.6818124763667583,-8.8947973032106340,-25.8274129902947323,-11.1959991077104917
59096.25000,652471269.1826417446136475,-143380664.2228437066078186,43027481.3872997164726257,18652297.9022426418960094,-8.7758110247590757,-25.8636232386686586,-11.2116347892305619
59096.50000,652492869.1826417446136475,-143568935.0328308641910553,42468439.9169775024056435,18409959.3941302150487900,-8.6566407541776620,-25.8994042214657654,-11.2270850237467066
59096.75000,652514469.1826417446136475,-143754629.7820677459239960,41908630.2243531569838524,18167289.1671141833066940,-8.5372869632238633,-25.9347547276844494,-11.2423494384069702
59097.00000,652536069.1826417446136475,-143937744.5119749605655670,41348061.6212005913257599,17924291.2391402348875999,-8.4177501643135226,-25.9696735021231326,-11.2574276371779440
59097.25000,652557669.1826417446136475,-144118275.2754828631877899,40786743.4468519389629364,17680969.6369452178478241,-8.2980309107600707,-26.0041592488557640,-11.2723192023414214
