# # # epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60390.000000,764251200.000000,-274752.045642,250413.892232,137232.030734,-0.503246,-0.183583,-0.297165
60390.020000,764252928.013691,-275660.427747,250113.867974,136789.903647,-0.548853,-0.164885,-0.214443
60390.040000,764254655.994380,-276651.723964,249839.804451,136491.676335,-0.599416,-0.153583,-0.130398
60390.060000,764256383.983023,-277735.607714,249578.494799,136340.821101,-0.656279,-0.150289,-0.043623
60390.080000,764258112.020531,-278924.595423,249314.943260,136343.409985,-0.721423,-0.156520,0.047488
60390.100000,764259839.977143,-280235.284097,249030.422566,136508.511317,-0.797811,-0.175232,0.144820
60390.120000,764261567.973272,-281690.888656,248699.053934,136848.781994,-0.890082,-0.211982,0.250626
60390.140000,764263296.041045,-283324.895937,248281.353244,137380.953515,-1.005840,-0.277648,0.367258
60390.160000,764265023.998751,-285187.979756,247710.020823,138124.793176,-1.158193,-0.395455,0.495365
60390.180000,764266751.983665,-287361.450154,246853.776690,139093.963763,-1.369744,-0.621873,0.623597
60390.200000,764268480.030705,-289969.821259,245413.519562,140234.994326,-1.660237,-1.111671,0.661882
60390.220000,764270207.993041,-293017.301379,242708.669631,141036.442496,-1.753599,-2.070120,0.068402
60390.240000,764271936.025849,-295382.563689,238858.277962,140021.797308,-0.915841,-2.089964,-1.112603
60390.260000,764273664.037816,-296459.857120,235834.325359,137843.913077,-0.424474,-1.442635,-1.302320
60390.280000,764275392.015120,-297040.851613,233719.181515,135671.764327,-0.277114,-1.041665,-1.198565
60390.300000,764277119.994994,-297476.256318,232144.345828,133715.342657,-0.236553,-0.799404,-1.066174
60390.320000,764278848.000780,-297879.875079,230909.843326,131981.715925,-0.234562,-0.639363,-0.942346
60390.340000,764280575.985386,-298296.402001,229908.151119,130451.706147,-0.249448,-0.525984,-0.830372
60390.360000,764282303.996459,-298746.902705,229075.431578,129106.239696,-0.273043,-0.441703,-0.728318
60390.380000,764284031.971182,-299243.045441,228370.395338,127930.325197,-0.301927,-0.377054,-0.633778
60390.400000,764285760.009169,-299792.557676,227764.215128,126912.799269,-0.334644,-0.326566,-0.544632
60390.420000,764287487.968971,-300401.470356,227235.542898,126045.984628,-0.370672,-0.286953,-0.459122
60390.440000,764289215.984667,-301075.498212,226767.410741,125324.866548,-0.410020,-0.256227,-0.375735
60390.460000,764290943.969777,-301820.618477,226345.552852,124747.002755,-0.453059,-0.233279,-0.293113
60390.480000,764292672.020469,-302643.816389,225956.976682,124312.171044,-0.500498,-0.217669,-0.209950
60390.500000,764294400.031833,-303553.517986,225588.938263,124022.479250,-0.553417,-0.209609,-0.124908
60390.520000,764296127.991664,-304560.467121,225227.691239,123882.412780,-0.613406,-0.210058,-0.036517
60390.540000,764297856.002946,-305678.840932,224856.937339,123899.191009,-0.682822,-0.221062,0.056937
60390.560000,764299583.975003,-306927.740229,224455.460944,124083.260128,-0.765248,-0.246488,0.157479
60390.580000,764301311.981083,-308334.238420,223992.666910,124448.866505,-0.866402,-0.293689,0.267445
60390.600000,764303040.029806,-309938.262741,223419.669204,125014.204541,-0.995888,-0.377519,0.388839
60390.620000,764304768.013353,-311801.822446,222648.485837,125798.385641,-1.170506,-0.531381,0.519498
60390.640000,764306495.998705,-314024.983556,221495.827565,126800.461318,-1.416931,-0.841678,0.630442
60390.660000,764308223.967820,-316735.098261,219521.145192,127860.601099,-1.710194,-1.535748,0.512812
60390.680000,764309952.027375,-319590.619974,216025.474381,127967.450540,-1.381876,-2.361264,-0.571893
60390.700000,764311679.990298,-321191.780926,212293.991459,126154.006126,-0.560324,-1.837725,-1.311193
60390.720000,764313408.033648,-321854.536996,209629.658060,123858.230571,-0.265318,-1.293415,-1.300587
60390.740000,764315135.984226,-322222.714384,207693.291276,121718.076029,-0.178516,-0.974805,-1.172513
60390.760000,764316864.014042,-322508.591503,206193.694256,119806.462893,-0.158807,-0.774684,-1.041585
60390.780000,764318591.988546,-322786.348707,204979.935240,118111.403739,-0.165514,-0.638019,-0.922379
60390.800000,764320319.998737,-323087.624764,203967.307007,116612.150897,-0.184649,-0.538901,-0.814563
60390.820000,764322047.977438,-323428.396378,203103.625796,115291.118080,-0.210655,-0.464046,-0.715717
60390.840000,764323776.025623,-323818.224013,202353.898110,114134.812713,-0.241162,-0.406050,-0.623489
60390.860000,764325503.970943,-324263.863366,201693.145474,113133.664831,-0.275191,-0.360558,-0.535912
60390.880000,764327231.977911,-324771.145332,201102.173978,112281.011269,-0.312487,-0.324921,-0.451325
60390.900000,764328959.958759,-325345.790591,200565.459614,111572.992726,-0.353227,-0.297578,-0.368296
60390.920000,764330688.033754,-325994.197157,200069.424570,111008.034239,-0.397932,-0.277728,-0.285493
60390.940000,764332416.031609,-326723.842959,199601.395886,110586.922339,-0.447463,-0.265216,-0.201614
