# # # epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60390.000000,764251200.000000,-279077.269273,252757.216883,145049.670755,-0.719984,-0.583631,-0.297165
60390.020000,764252928.013691,-280318.881439,251746.365136,144534.828592,-0.717053,-0.586325,-0.298711
60390.040000,764254655.994380,-281555.396466,250730.886211,144017.328704,-0.714112,-0.589008,-0.300252
60390.060000,764256383.983023,-282786.823049,249710.776357,143497.169286,-0.711157,-0.591680,-0.301787
60390.080000,764258112.020531,-284013.169432,248686.031433,142974.348308,-0.708192,-0.594340,-0.303316
60390.100000,764259839.977143,-285234.323131,247656.748847,142448.915576,-0.705214,-0.596987,-0.304839
60390.120000,764261567.973272,-286450.348959,246622.877399,141920.845058,-0.702225,-0.599623,-0.306355
60390.140000,764263296.041045,-287661.248641,245584.417850,141390.137206,-0.699223,-0.602248,-0.307865
60390.160000,764265023.998751,-288866.874763,244541.500062,140856.858490,-0.696210,-0.604861,-0.309370
60390.180000,764266751.983665,-290067.303282,243494.062039,140320.977323,-0.693185,-0.607461,-0.310867
60390.200000,764268480.030705,-291262.537966,242442.102880,139782.493314,-0.690149,-0.610049,-0.312359
60390.220000,764270207.993041,-292452.457353,241385.732717,139241.462929,-0.687101,-0.612626,-0.313846
60390.240000,764271936.025849,-293637.148466,240324.877466,138697.848321,-0.684042,-0.615191,-0.315325
60390.260000,764273664.037816,-294816.528659,239259.613774,138151.688840,-0.680970,-0.617743,-0.316799
60390.280000,764275392.015120,-295990.569032,238189.971207,137602.999744,-0.677888,-0.620284,-0.318265
60390.300000,764277119.994994,-297159.275412,237115.947743,137051.780087,-0.674795,-0.622812,-0.319726
60390.320000,764278848.000780,-298322.643913,236037.549703,136498.033193,-0.671690,-0.625328,-0.321182
60390.340000,764280575.985386,-299480.623357,234954.827460,135941.785007,-0.668574,-0.627832,-0.322629
60390.360000,764282303.996459,-300633.226343,233867.772228,135383.031099,-0.665447,-0.630323,-0.324071
60390.380000,764284031.971182,-301780.391724,232776.444652,134821.802720,-0.662309,-0.632803,-0.325507
60390.400000,764285760.009169,-302922.166366,231680.802905,134258.078434,-0.659159,-0.635270,-0.326937
60390.420000,764287487.968971,-304058.437819,230580.957959,133691.915422,-0.655999,-0.637725,-0.328359
60390.440000,764289215.984667,-305189.275374,229476.845831,133123.280829,-0.652827,-0.640168,-0.329776
60390.460000,764290943.969777,-306314.603449,228368.543026,132552.214125,-0.649645,-0.642599,-0.331186
60390.480000,764292672.020469,-307434.465724,227256.009131,131978.694557,-0.646452,-0.645017,-0.332589
60390.500000,764294400.031833,-308548.775389,226139.333036,131402.768016,-0.643248,-0.647422,-0.333987
60390.520000,764296127.991664,-309657.506440,225018.544471,130824.449930,-0.640034,-0.649815,-0.335378
60390.540000,764297856.002946,-310760.706442,223893.598187,130243.717022,-0.636809,-0.652196,-0.336762
60390.560000,764299583.975003,-311858.299046,222764.574772,129660.610964,-0.633573,-0.654563,-0.338139
60390.580000,764301311.981083,-312950.312501,221631.448057,129075.118311,-0.630326,-0.656919,-0.339511
60390.600000,764303040.029806,-314036.733674,220494.233836,128487.247279,-0.627069,-0.659262,-0.340875
60390.620000,764304768.013353,-315117.476759,219353.024903,127897.045906,-0.623801,-0.661592,-0.342233
60390.640000,764306495.998705,-316192.565959,218207.799078,127304.502807,-0.620524,-0.663910,-0.343585
60390.660000,764308223.967820,-317261.972178,217058.590228,126709.635573,-0.617236,-0.666215,-0.344930
60390.680000,764309952.027375,-318325.743245,215905.349081,126112.418752,-0.613937,-0.668507,-0.346268
60390.700000,764311679.990298,-319383.746302,214748.222480,125512.928450,-0.610628,-0.670787,-0.347600
60390.720000,764313408.033648,-320436.072201,213587.113942,124911.114752,-0.607310,-0.673054,-0.348925
60390.740000,764315135.984226,-321482.597988,212422.161964,124307.049505,-0.603980,-0.675307,-0.350243
60390.760000,764316864.014042,-322523.410464,211253.272758,123700.684145,-0.600641,-0.677548,-0.351555
60390.780000,764318591.988546,-323558.411120,210080.559436,123092.077404,-0.597292,-0.679777,-0.352860
60390.800000,764320319.998737,-324587.637312,208903.982543,122481.208872,-0.593933,-0.681992,-0.354158
60390.820000,764322047.977438,-325611.031838,207723.610077,121868.113911,-0.590564,-0.684194,-0.355450
60390.840000,764323776.025623,-326628.637271,206539.395283,121252.768288,-0.587186,-0.686384,-0.356734
60390.860000,764325503.970943,-327640.335310,205351.478753,120635.245122,-0.583797,-0.688561,-0.358013
60390.880000,764327231.977911,-328646.205631,204159.769960,120015.497422,-0.580398,-0.690724,-0.359284
60390.900000,764328959.958759,-329646.180186,202964.351792,119393.568340,-0.576991,-0.692874,-0.360549
60390.920000,764330688.033754,-330640.311563,201765.163362,118769.426242,-0.573572,-0.695012,-0.361806
60390.940000,764332416.031609,-331628.484569,200562.346063,118143.144771,-0.570145,-0.697136,-0.363057
60390.960000,764334144.015995,-332610.719601,199355.878488,117514.712852,-0.566709,-0.699248,-0.364301
60390.980000,764335871.996094,-333587.005586,198145.776957,116884.139044,-0.563263,-0.701346,-0.365538
60391.000000,764337599.971284,-334557.325961,196932.064663,116251.435489,-0.559807,-0.703432,-0.366768
60391.020000,764339327.998166,-335521.696057,195714.724462,115616.593290,-0.556343,-0.705503,-0.367991
60391.040000,764341056.016090,-336480.065746,194493.821777,114979.646607,-0.552869,-0.707562,-0.369207
60391.060000,764342784.017012,-337432.414703,193269.385232,114340.610430,-0.549385,-0.709608,-0.370416
60391.080000,764344511.990089,-338378.721314,192041.445568,113699.500863,-0.545893,-0.711640,-0.371619
60391.100000,764346239.986465,-339318.997817,190809.989408,113056.310970,-0.542392,-0.713658,-0.372814
60391.120000,764347968.033413,-340253.242974,189575.020100,112411.042532,-0.538881,-0.715664,-0.374003
60391.140000,764349695.952869,-341181.345333,188336.688182,111763.774269,-0.535361,-0.717656,-0.375184
60391.160000,764351423.997846,-342103.425311,187094.835436,111114.423529,-0.531832,-0.719635,-0.376359
60391.180000,764353152.039174,-343019.397948,185849.577468,110463.050782,-0.528295,-0.721599,-0.377526
60391.200000,764354880.007581,-343929.211643,184600.987617,109809.694450,-0.524748,-0.723551,-0.378686
60391.220000,764356607.964642,-344832.884064,183349.044866,109154.343599,-0.521193,-0.725489,-0.379839
60391.240000,764358335.970551,-345730.431400,182093.728776,108496.987565,-0.517630,-0.727415,-0.380986
60391.260000,764360063.945084,-346621.796905,180835.120905,107837.669097,-0.514057,-0.729327,-0.382125
60391.280000,764361791.984988,-347507.015397,179573.174048,107176.363504,-0.510477,-0.731224,-0.383257
60391.300000,764363520.002137,-348386.026697,178307.975849,106513.116743,-0.506887,-0.733108,-0.384382
60391.320000,764365247.964517,-349258.800266,177039.573434,105847.953580,-0.503289,-0.734979,-0.385499
60391.340000,764366975.976592,-350125.374293,175767.913635,105180.846172,-0.499682,-0.736837,-0.386610
60391.360000,764368703.987949,-350985.708717,174493.056947,104511.826286,-0.496067,-0.738680,-0.387713
60391.380000,764370432.026648,-351839.803005,173215.006199,103840.895441,-0.492444,-0.740510,-0.388809
60391.400000,764372160.037044,-352687.615365,171933.826180,103168.087689,-0.488813,-0.742326,-0.389898
60391.420000,764373887.982759,-353529.114227,170649.567769,102493.429799,-0.485173,-0.744129,-0.390979
60391.440000,764375616.037428,-354364.369832,169362.125516,101816.866411,-0.481526,-0.745917,-0.392054
60391.460000,764377343.996827,-355193.269423,168071.675304,101138.489984,-0.477870,-0.747692,-0.393121
60391.480000,764379072.044226,-356015.887032,166778.104069,100458.241119,-0.474206,-0.749453,-0.394181
60391.500000,764380800.016899,-356832.131356,165481.557439,99776.196430,-0.470535,-0.751201,-0.395233
60391.520000,764382527.959737,-357642.010494,164182.025888,99092.350963,-0.466855,-0.752934,-0.396279
60391.540000,764384256.028303,-358445.583228,162879.416086,98406.655619,-0.463167,-0.754654,-0.397317
60391.560000,764385983.977732,-359242.722177,161573.936562,97719.220202,-0.459472,-0.756360,-0.398348
60391.580000,764387711.981708,-360033.494445,160265.480265,97029.988385,-0.455770,-0.758052,-0.399371
60391.600000,764389439.992244,-360817.864450,158954.107421,96338.991914,-0.452059,-0.759730,-0.400387
60391.620000,764391168.020405,-361595.823902,157639.833653,95646.239048,-0.448341,-0.761394,-0.401396
60391.640000,764392895.991110,-362367.326144,156322.740290,94951.772694,-0.444615,-0.763043,-0.402397
60391.660000,764394624.034401,-363132.416183,155002.752341,94255.553341,-0.440882,-0.764679,-0.403391
60391.680000,764396352.006877,-363891.017640,153680.003537,93557.651552,-0.437142,-0.766302,-0.404377
60391.700000,764398080.033766,-364643.172828,152354.422305,92858.029598,-0.433394,-0.767909,-0.405356
60391.720000,764399808.038400,-365388.835514,151026.091654,92156.731314,-0.429638,-0.769503,-0.406328
60391.740000,764401535.984032,-366127.977741,149695.064347,91453.784598,-0.425876,-0.771083,-0.407292
60391.760000,764403264.013328,-366860.647944,148361.254790,90749.144269,-0.422107,-0.772650,-0.408248
60391.780000,764404992.029264,-367586.792221,147024.762100,90042.862705,-0.418330,-0.774200,-0.409198
60391.800000,764406720.013734,-368306.390971,145685.624816,89334.960307,-0.414546,-0.775738,-0.410140
60391.820000,764408448.008146,-369019.449413,144343.835369,88625.433105,-0.410755,-0.777261,-0.411073
60391.840000,764410176.023952,-369725.960025,142999.409297,87914.289333,-0.406957,-0.778771,-0.412000
60391.860000,764411904.027433,-370425.897040,141652.397357,87201.555865,-0.403153,-0.780266,-0.412919
60391.880000,764413631.997929,-371119.240535,140302.840348,86487.254322,-0.399341,-0.781746,-0.413831
60391.900000,764415359.962908,-371805.989977,138950.741504,85771.386444,-0.395523,-0.783213,-0.414735
60391.920000,764417088.024403,-372486.173778,137596.045440,85053.922916,-0.391697,-0.784664,-0.415632
60391.940000,764418815.988605,-373159.704146,136238.928789,84334.957307,-0.387866,-0.786103,-0.416521
60391.960000,764420544.014550,-373826.631829,134879.291438,83614.436610,-0.384028,-0.787526,-0.417402
60391.980000,764422272.007544,-374486.908810,133517.232596,82892.413417,-0.380184,-0.788935,-0.418275
60392.000000,764424000.023008,-375140.545103,132152.733389,82168.877743,-0.376332,-0.790330,-0.419142
60392.020000,764425727.992821,-375787.503972,130785.872489,81443.871332,-0.372475,-0.791710,-0.420000
60392.040000,764427455.994358,-376427.803460,129416.613578,80717.374942,-0.368611,-0.793076,-0.420851
60392.060000,764429184.023019,-377061.430624,128044.985081,79989.403665,-0.364740,-0.794428,-0.421693
60392.080000,764430912.001395,-377688.346417,126671.073415,79260.003389,-0.360865,-0.795765,-0.422529
60392.100000,764432640.015811,-378308.571554,125294.834937,78529.150965,-0.356982,-0.797088,-0.423357
60392.120000,764434367.974727,-378922.062713,123916.367591,77796.898429,-0.353093,-0.798396,-0.424176
60392.140000,764436096.000962,-379528.852942,122535.598399,77063.207029,-0.349198,-0.799690,-0.424989
60392.160000,764437823.990552,-380128.895195,121152.635440,76328.134208,-0.345298,-0.800969,-0.425794
60392.180000,764439551.996689,-380722.197785,119767.461276,75591.670716,-0.341392,-0.802234,-0.426591
60392.200000,764441279.956622,-381308.729175,118380.151390,74853.856709,-0.337479,-0.803484,-0.427379
60392.220000,764443007.975887,-381888.515069,116990.646189,74114.660504,-0.333561,-0.804719,-0.428161
60392.240000,764444736.028249,-382461.536169,115598.991785,73374.106635,-0.329637,-0.805940,-0.428935
60392.260000,764446463.965641,-383027.734015,114205.332798,72632.272088,-0.325708,-0.807147,-0.429700
60392.280000,764448192.023041,-383587.175833,112809.504946,71889.069430,-0.321772,-0.808339,-0.430459
60392.300000,764449919.967398,-384139.776513,111411.721752,71144.612362,-0.317832,-0.809516,-0.431208
60392.320000,764451647.986435,-384685.586773,110011.856735,70398.833543,-0.313885,-0.810678,-0.431951
60392.340000,764453375.995950,-385224.570248,108610.003347,69651.782761,-0.309934,-0.811826,-0.432685
60392.360000,764455104.000060,-385756.718966,107206.183639,68903.471780,-0.305977,-0.812959,-0.433412
60392.380000,764456831.975780,-386282.016880,105800.441756,68153.924152,-0.302015,-0.814078,-0.434131
60392.400000,764458559.989840,-386800.475096,104392.748819,67403.124490,-0.298047,-0.815181,-0.434842
60392.420000,764460288.017915,-387312.077031,102983.150025,66651.096899,-0.294075,-0.816270,-0.435545
60392.440000,764462016.014009,-387816.800282,101571.708412,65897.875024,-0.290097,-0.817344,-0.436240
60392.460000,764463744.002287,-388314.643382,100158.429828,65143.462004,-0.286114,-0.818403,-0.436927
60392.480000,764465471.981063,-388805.597283,98743.341223,64387.872240,-0.282126,-0.819449,-0.437607
60392.500000,764467200.029240,-389289.675486,97326.403470,63631.084836,-0.278133,-0.820477,-0.438279
60392.520000,764468927.966529,-389766.819285,95907.790062,62873.192473,-0.274136,-0.821493,-0.438943
60392.540000,764470656.038029,-390237.087880,94487.325373,62114.101326,-0.270133,-0.822493,-0.439598
60392.560000,764472384.019904,-390700.411857,93065.218984,61353.923395,-0.266127,-0.823478,-0.440245
60392.580000,764474111.997630,-391156.806573,91641.426373,60592.634908,-0.262114,-0.824449,-0.440885
60392.600000,764475839.987627,-391606.268293,90215.959710,59830.242373,-0.258098,-0.825404,-0.441517
60392.620000,764477567.981122,-392048.786748,88788.851945,59066.763420,-0.254077,-0.826345,-0.442141
60392.640000,764479295.967021,-392484.351313,87360.138008,58302.216744,-0.250052,-0.827270,-0.442757
60392.660000,764481023.996413,-392912.966960,85929.801401,57536.593513,-0.246022,-0.828181,-0.443364
60392.680000,764482752.002348,-393334.609373,84497.923318,56769.937193,-0.241988,-0.829077,-0.443964
60392.700000,764484480.026585,-393749.281314,83064.495012,56002.243104,-0.237950,-0.829958,-0.444556
60392.720000,764486207.990066,-394156.956688,81629.607974,55233.560260,-0.233906,-0.830824,-0.445140
60392.740000,764487936.035018,-394557.661686,80193.169968,54463.839248,-0.229860,-0.831674,-0.445716
60392.760000,764489663.994104,-394951.350390,78755.346010,53693.168497,-0.225809,-0.832511,-0.446284
60392.780000,764491391.976614,-395338.041030,77316.071170,52921.513221,-0.221753,-0.833332,-0.446843
60392.800000,764493119.999725,-395717.730139,75875.357020,52148.879614,-0.217695,-0.834137,-0.447395
60392.820000,764494848.038016,-396090.404988,74433.250674,51375.292936,-0.213632,-0.834928,-0.447939
60392.840000,764496575.966224,-396456.032420,72989.882782,50600.823291,-0.209565,-0.835703,-0.448474
60392.860000,764498303.981762,-396814.647753,71545.114499,49825.396184,-0.205495,-0.836464,-0.449002
60392.880000,764500032.032064,-397166.232856,70099.015682,49049.049086,-0.201420,-0.837210,-0.449521
60392.900000,764501760.009799,-397510.759733,68651.702267,48271.844247,-0.197342,-0.837941,-0.450032
60392.920000,764503487.992576,-397848.238017,67203.135418,47493.760825,-0.193260,-0.838656,-0.450535
60392.940000,764505215.989916,-398178.663290,65753.333246,46714.808545,-0.189176,-0.839356,-0.451030
60392.960000,764506943.999902,-398502.028970,64302.323468,45935.002292,-0.185087,-0.840041,-0.451517
60392.980000,764508672.007911,-398818.326324,62850.144511,45154.362717,-0.180995,-0.840711,-0.451996
60393.000000,764510399.970804,-399127.541924,61396.858847,44372.923408,-0.176900,-0.841366,-0.452466
60393.020000,764512127.968001,-399429.684335,59942.425895,43590.662545,-0.172802,-0.842006,-0.452929
60393.040000,764513855.990207,-399724.745957,58486.879631,42807.598391,-0.168699,-0.842630,-0.453383
60393.060000,764515584.021582,-400012.718407,57030.259615,42023.752217,-0.164595,-0.843240,-0.453828
60393.080000,764517311.992723,-400293.585036,55572.650641,41239.169663,-0.160487,-0.843833,-0.454266
60393.100000,764519040.026448,-400567.360540,54113.975388,40453.809104,-0.156376,-0.844412,-0.454697
60393.120000,764520768.013193,-400834.022284,52654.352620,39667.734477,-0.152262,-0.844976,-0.455118
60393.140000,764522496.031934,-401093.577511,51193.741948,38880.924030,-0.148145,-0.845525,-0.455532
60393.160000,764524223.971149,-401346.004863,49732.264012,38093.442754,-0.144026,-0.846058,-0.455937
60393.180000,764525951.960531,-401591.318604,48269.835486,37305.245749,-0.139903,-0.846576,-0.456333
60393.200000,764527680.018878,-401829.515977,46806.466732,36516.338577,-0.135778,-0.847078,-0.456722
60393.220000,764529408.024311,-402060.575495,45342.287336,35726.791088,-0.131650,-0.847565,-0.457102
60393.240000,764531136.023561,-402284.499257,43877.284141,34936.596190,-0.127520,-0.848037,-0.457474
60393.260000,764532863.988272,-402501.279512,42411.507636,34145.781121,-0.123388,-0.848495,-0.457838
60393.280000,764534591.965581,-402710.918007,40944.944276,33354.338567,-0.119252,-0.848936,-0.458194
60393.300000,764536320.011535,-402913.416907,39477.572892,32562.257082,-0.115115,-0.849362,-0.458541
60393.320000,764538047.962831,-403108.753205,38009.558630,31769.625810,-0.110975,-0.849774,-0.458880
60393.340000,764539776.004402,-403296.943904,36540.770859,30976.374212,-0.106833,-0.850169,-0.459211
60393.360000,764541504.026390,-403477.972787,35071.329408,30182.566981,-0.102689,-0.850550,-0.459534
60393.380000,764543231.965744,-403651.830194,33601.314459,29388.247444,-0.098542,-0.850914,-0.459849
60393.400000,764544960.041633,-403818.534259,32130.566049,28593.329146,-0.094394,-0.851264,-0.460155
60393.420000,764546687.979718,-403978.055044,30659.344204,27797.952617,-0.090244,-0.851598,-0.460452
60393.440000,764548415.974846,-404130.407687,29187.509614,27002.042547,-0.086091,-0.851916,-0.460742
60393.460000,764550144.004997,-404275.586423,27715.107553,26205.623394,-0.081937,-0.852220,-0.461022
60393.480000,764551872.018432,-404413.583663,26242.208677,25408.733359,-0.077781,-0.852508,-0.461295
60393.500000,764553600.021798,-404544.397088,24768.833918,24611.383763,-0.073623,-0.852781,-0.461560
60393.520000,764555328.001298,-404668.022955,23295.021656,23813.595371,-0.069464,-0.853038,-0.461816
60393.540000,764557056.002739,-404784.461768,21820.759438,23015.361428,-0.065303,-0.853280,-0.462064
60393.560000,764558783.958456,-404893.706422,20346.131621,22216.727601,-0.061140,-0.853507,-0.462303
60393.580000,764560511.961415,-404995.760235,18871.085507,21417.665339,-0.056977,-0.853717,-0.462535
60393.600000,764562240.014235,-405090.620299,17395.645474,20618.187816,-0.052812,-0.853913,-0.462757
60393.620000,764563968.020510,-405178.278964,15919.920498,19818.354068,-0.048645,-0.854093,-0.462972
60393.640000,764565695.999539,-405258.735444,14443.920779,19018.169622,-0.044477,-0.854258,-0.463178
60393.660000,764567423.974828,-405331.988935,12967.652931,18217.638058,-0.040309,-0.854407,-0.463376
60393.680000,764569152.000489,-405398.039430,11491.097399,17416.748744,-0.036138,-0.854541,-0.463565
60393.700000,764570880.004473,-405456.882114,10014.342437,16615.549533,-0.031966,-0.854659,-0.463746
60393.720000,764572607.968549,-405508.514992,8537.430344,15814.063369,-0.027795,-0.854762,-0.463918
60393.740000,764574336.021981,-405552.939975,7060.277346,15012.244765,-0.023621,-0.854850,-0.464083
60393.760000,764576064.027562,-405590.151709,5583.027449,14210.171864,-0.019448,-0.854922,-0.464238
60393.780000,764577791.977575,-405620.149278,4105.713988,13407.862770,-0.015273,-0.854978,-0.464385
