epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
59091.50000,652060869.1826417446136475,426375.9003547339234501,30.6428896828829274,-28.5111741026270877
59091.75000,652082469.1826417446136475,426374.7838511709705926,35.4976157302268120,-25.6911114391706690
59092.00000,652104069.1826417446136475,426724.2372182382969186,40.3338108950742367,-20.8047241271529089
59092.25000,652125669.1826417446136475,427422.4667243199655786,44.1048669831734017,-14.7969291175250888
59092.50000,652147269.1826417446136475,428461.2043996971333399,46.5157777758756410,-8.9797888107143429
59092.75000,652168869.1826417446136475,429824.5422006680746563,47.8319665831950616,-4.1830187236925473
59093.00000,652190469.1826417446136475,431489.1365511346375570,48.4124319053748380,-0.6161725010613088
59093.25000,652212069.1826417446136475,433425.3683610693551600,48.5152295674277028,1.8370313684268140
59093.50000,652233669.1826417446136475,435598.9459145688451827,48.2963422422054833,3.3791313610129090
59093.75000,652255269.1826417446136475,437972.5534959794022143,47.8484817242876872,4.1994156506480085
59094.00000,652276869.1826417446136475,440507.3176029653986916,47.2295350301775940,4.4497309266609371
59094.25000,652298469.1826417446136475,443163.9990016461233608,46.4778834689010054,4.2463926492122228
59094.50000,652320069.1826417446136475,445903.9023580474313349,45.6200131008653713,3.6779350505802406
59094.75000,652341669.1826417446136475,448689.5357483825064264,44.6743843501966396,2.8124647452499274
59095.00000,652363269.1826417446136475,451485.0661989562795497,43.6535922435597428,1.7033234883194881
59095.25000,652384869.1826417446136475,454256.6173994655837305,42.5657354394632463,0.3931753437286555
59095.50000,652406469.1826417446136475,456972.4498284488217905,41.4153874256789081,-1.0830953757492754
59095.75000,652428069.1826417446136475,459603.0559675701661035,40.2043364486135033,-2.6963263320840785
59096.00000,652449669.1826417446136475,462121.1960204297793098,38.9321675541468011,-4.4216019271005065
59096.25000,652471269.1826417446136475,464501.8933275296003558,37.5967230314327807,-6.2371823647106792
59096.50000,652492869.1826417446136475,466722.4036355866119266,36.1944630006362260,-8.1237156258098704
59096.75000,652514469.1826417446136475,468762.1684539405396208,34.7207419812958094,-10.0636489726229605
59097.00000,652536069.1826417446136475,470602.7597376712365076,33.1700147051190655,-12.0407813149916088
59097.25000,652557669.1826417446136475,472227.8209017709596083,31.5359833084825993,-14.0399137579908366
59097.50000,652579269.1826417446136475,473623.0075432934099808,29.8116978153130461,-16.0465661177408627
59097.75000,652600869.1826417446136475,474775.9300961347180419,27.9896224677564440,-18.0467342309619170
59098.00000,652622469.1826417446136475,475676.0998647714732215,26.0616820496896082,-20.0266679349069356
59098.25000,652644069.1826417446136475,476314.8793972765561193,24.0193050400156913,-21.9726534790456753
59098.50000,652665669.1826417446136475,476685.4378952856641263,21.8534194339527232,-23.8707379563361002
59098.75000,652687269.1826417446136475,476782.7122641480527818,19.5546901626905303,-25.7065705331759879
59099.00000,652708869.1826417446136475,476603.3744305447326042,17.1136964201217054,-27.4651614755979203
59099.25000,652730469.1826417446136475,476145.8056583678117022,14.5210857921605516,-29.1304793699938571
59099.50000,652752069.1826417446136475,475410.0787383574643172,11.7680944670093268,-30.6851877012790979
59099.75000,652773669.1826417446136475,474397.9490814863238484,8.8471991041114961,-32.1103253465626253
59100.00000,652795269.1826417446136475,473112.8558878413168713,5.7530124199786288,-33.3850015021899367
59100.25000,652816869.1826417446136475,471559.9346639607101679,2.4834459370469140,-34.4861385457693785
59100.50000,652838469.1826417446136475,469746.0424026281689294,-0.9588730262493755,-35.3883087465925001
59100.75000,652860069.1826417446136475,467679.7967036040499806,-4.5650030691991068,-36.0637218262118111
59101.00000,652881669.1826417446136475,465371.6299696930800565,-8.3180645163662561,-36.4824263253541616
59101.25000,652903269.1826417446136475,462833.8595306251663715,-12.1918361882778470,-36.6127839515956310
59101.50000,652924869.1826417446136475,460080.7740765442140400,-16.1498902969200593,-36.4222586698274853
59101.75000,652946469.1826417446136475,457128.7360458155162632,-20.1455877379185182,-35.8785315769643205
59102.00000,652968069.1826417446136475,453996.2984898714930750,-24.1231548752518563,-34.9509155420412583
59102.25000,652989669.1826417446136475,450704.3332456114585511,-28.0198460035526722,-33.6120140521408715
59102.50000,653011269.1826417446136475,447276.1646977638010867,-31.7689097763172370,-31.8395614678530094
59102.75000,653032869.1826417446136475,443737.6995663221459836,-35.3028209959315902,-29.6184011646176906
59103.00000,653054469.1826417446136475,440117.5373169950325973,-38.5561153506906038,-26.9425875502713303
59103.25000,653076069.1826417446136475,436447.0369089631130919,-41.4672221537389518,-23.8176000153234568
