epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
59091.50000,652060869.1826417446136475,48997.0902870863428689,0.0015320622321939,-0.0004891191769588
59091.75000,652082469.1826417446136475,49494.4856241835223045,0.0026329452077430,-0.0001480280990829
59092.00000,652104069.1826417446136475,50478.0781979588573449,0.0032907672998876,0.0007240942423922
59092.25000,652125669.1826417446136475,51868.4531087098148419,0.0030696218857660,0.0017103402673821
59092.50000,652147269.1826417446136475,53578.0958656558141229,0.0022035911910262,0.0023096546283637
59092.75000,652168869.1826417446136475,55520.7532482550013810,0.0012146502266655,0.0024314557567462
59093.00000,652190469.1826417446136475,57617.7675476823496865,0.0004091394307115,0.0022570236193841
59093.25000,652212069.1826417446136475,59801.3198725554393604,-0.0001496959775736,0.0019665959866427
59093.50000,652233669.1826417446136475,62015.3398487343001761,-0.0005023579876291,0.0016613549931267
59093.75000,652255269.1826417446136475,64214.9917465594844543,-0.0007078641509686,0.0013839931595185
59094.00000,652276869.1826417446136475,66365.4617182379151927,-0.0008153638054492,0.0011474780965249
59094.25000,652298469.1826417446136475,68440.5114213767083129,-0.0008598228737227,0.0009521423050159
59094.50000,652320069.1826417446136475,70421.0511450806370704,-0.0008644928344681,0.0007937565558537
59094.75000,652341669.1826417446136475,72293.8467515254160389,-0.0008442924571259,0.0006669288799088
59095.00000,652363269.1826417446136475,74050.3962739914131816,-0.0008085579118784,0.0005663877174428
59095.25000,652384869.1826417446136475,75685.9731750541977817,-0.0007630026813051,0.0004873746275548
59095.50000,652406469.1826417446136475,77198.8172423288197024,-0.0007110441081213,0.0004256919056398
59095.75000,652428069.1826417446136475,78589.4499005544785177,-0.0006546900311726,0.0003776290100809
59096.00000,652449669.1826417446136475,79860.0919964115892071,-0.0005951189194053,0.0003398718595013
59096.25000,652471269.1826417446136475,81014.1654883578303270,-0.0005330653243975,0.0003094212375135
59096.50000,652492869.1826417446136475,82055.8642987818311667,-0.0004690714739917,0.0002835344561111
59096.75000,652514469.1826417446136475,82989.7831330334593076,-0.0004036481481169,0.0002596902481406
59097.00000,652536069.1826417446136475,83820.5960660586133599,-0.0003373729248118,0.0002355722683058
59097.25000,652557669.1826417446136475,84552.7790841220703442,-0.0002709429190023,0.0002090676076959
59097.50000,652579269.1826417446136475,85190.3725841182167642,-0.0002051991040463,0.0001782649154074
59097.75000,652600869.1826417446136475,85736.7811365194647806,-0.0001411237606413,0.0001414627134201
59098.00000,652622469.1826417446136475,86194.6086833477311302,-0.0000798283346454,0.0000971643665353
59098.25000,652644069.1826417446136475,86565.5278445940202801,-0.0000225306335151,0.0000440743428444
59098.50000,652665669.1826417446136475,86850.1822159767762059,-0.0000171899149552,0.0000424214707755
59098.75000,652687269.1826417446136475,87048.1205314440740040,-0.0000536197209169,0.0001041510713401
59099.00000,652708869.1826417446136475,87157.7614056162856286,-0.0000783487642671,0.0001672189214693
59099.25000,652730469.1826417446136475,87176.3871381196513539,-0.0000919546189276,0.0002310931856755
59099.50000,652752069.1826417446136475,87100.1648179977928521,-0.0000950168317416,0.0002952310751742
59099.75000,652773669.1826417446136475,86924.1927749423921341,-0.0000880828285941,0.0003591229224032
59100.00000,652795269.1826417446136475,86642.5703388149122475,-0.0000716246575518,0.0004223276021105
59100.25000,652816869.1826417446136475,86248.4889333000464831,-0.0000459960997205,0.0004844844669370
59100.50000,652838469.1826417446136475,85734.3427812429290498,-0.0000113898081422,0.0005453122627373
59100.75000,652860069.1826417446136475,85091.8579687761521200,0.0000321994379408,0.0006045895516953
59101.00000,652881669.1826417446136475,84312.2393354168161750,0.0000850070138541,0.0006621274829864
59101.25000,652903269.1826417446136475,83386.3356712643289939,0.0001475115777016,0.0007177160915442
59101.50000,652924869.1826417446136475,82304.8250761648814660,0.0002204330129146,0.0007710660221270
59101.75000,652946469.1826417446136475,81058.4241760167351458,0.0003047026623502,0.0008217400610848
59102.00000,652968069.1826417446136475,79638.1273788121616235,0.0004013903641933,0.0008690754306704
59102.25000,652989669.1826417446136475,78035.4857643949071644,0.0005115800010864,0.0009121199007168
59102.50000,653011269.1826417446136475,76242.9400107572728302,0.0006361664760349,0.0009495858834335
59102.75000,653032869.1826417446136475,74254.2286656135256635,0.0007755659915359,0.0009798645852498
59103.00000,653054469.1826417446136475,72064.9032030861417297,0.0009293158771599,0.0010011180814757
59103.25000,653076069.1826417446136475,69672.9963820221018977,0.0010955688640274,0.0010114901361924
59103.50000,653097669.1826417446136475,67079.9129884077265160,0.0012704664216400,0.0010094190057437
59103.75000,653119269.1826417446136475,64291.6457087527742260,0.0014473800036044,0.0009939958618539
59104.00000,653140869.1826417446136475,61320.4681527491557063,0.0016158720318886,0.0009651644376572
59104.25000,653162469.1826417446136475,58187.3256043327928637,0.0017600937184009,0.0009234743146503
59104.50000,653184069.1826417446136475,54925.2288821305919555,0.0018561314960732,0.0008690177985778
59104.75000,653205669.1826417446136475,51584.0291453356767306,0.0018681250144820,0.0007993081360108
59105.00000,653227269.1826417446136475,48236.9095159345524735,0.0017449003755862,0.0007062285563451
59105.25000,653248869.1826417446136475,44988.4900100665472564,0.0014250244202985,0.0005729752392936
59105.50000,653270469.1826417446136475,41982.9782135403147549,0.0008709709478793,0.0003733593063243
59105.75000,653292069.1826417446136475,39407.3745098005456384,0.0001640769438018,0.0000778342930619
59106.00000,653313669.1826417446136475,37479.4327049167623045,0.0001738831765158,0.0002205193659696
59106.25000,653335269.1826417446136475,36408.1290420853183605,-0.0002260598153058,0.0006503407267838
59106.50000,653356869.1826417446136475,36328.5337006325935363,-0.0018090176939376,0.0009773327028059
59106.75000,653378469.1826417446136475,37244.9748504268936813,-0.0045086472907146,0.0009145167395461
59107.00000,653400069.1826417446136475,39027.8568841610613163,-0.0093033564217971,-0.0003645079861141
59107.25000,653421669.1826417446136475,41467.0847404821761302,-0.0092395676605778,-0.0031818889258548
59107.50000,653443269.1826417446136475,44338.6236852852744050,-0.0064966310759161,-0.0051453845721218
59107.75000,653464869.1826417446136475,47447.2401610636079567,-0.0032990753213287,-0.0053194008676808
59108.00000,653486469.1826417446136475,50640.8721619842326618,-0.0010761765929908,-0.0045072144760906
59108.25000,653508069.1826417446136475,53808.4706155618332559,0.0001505646917977,-0.0035246714769463
59108.50000,653529669.1826417446136475,56872.1420671307860175,0.0007473546966116,-0.0026862416457096
59108.75000,653551269.1826417446136475,59779.0449259668021114,0.0010029611053357,-0.0020432585132291
59109.00000,653572869.1826417446136475,62494.8197700879900367,0.0010844002918341,-0.0015677747399425
59109.25000,653594469.1826417446136475,64998.7191024070125422,0.0010793609188927,-0.0012202052328687
59109.50000,653616069.1826417446136475,67280.1031645249167923,0.0010321374244485,-0.0009669842501368
59109.75000,653637669.1826417446136475,69335.9118952965800418,0.0009644854028235,-0.0007827495165757
59110.00000,653659269.1826417446136475,71168.7973303060280159,0.0008866943915432,-0.0006487903460004
59110.25000,653680869.1826417446136475,72785.6912684764538426,0.0008033398743315,-0.0005511335359376
59110.50000,653702469.1826417446136475,74196.6573049699800322,0.0007162953840836,-0.0004790363799595
59110.75000,653724069.1826417446136475,75413.9302413094119402,0.0006263435836322,-0.0004239378012929
59111.00000,653745669.1826417446136475,76451.0831806302740006,0.0005340389422494,-0.0003787887639427
59111.25000,653767269.1826417446136475,77322.2879974187235348,0.0004401792929975,-0.0003376328140497
59111.50000,653788869.1826417446136475,78041.6520463902124902,0.0003460310963803,-0.0002953841613091
59111.75000,653810469.1826417446136475,78622.6254925597750116,0.0002534299805945,-0.0002476962941111
59112.00000,653832069.1826417446136475,79077.4810937024740269,0.0001647769983734,-0.0001909181838597
59112.25000,653853669.1826417446136475,79416.8726004671189003,0.0000829977247107,-0.0001220566655172
59112.50000,653875269.1826417446136475,79649.4797530289797578,0.0000114647074085,-0.0000387710415605
59112.75000,653896869.1826417446136475,79781.7475550191302318,0.0000213359694236,-0.0000672796874929
59113.00000,653918469.1826417446136475,79817.7255078085436253,0.0000508422610047,-0.0001632338699720
