epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
59091.50000,652060869.1826417446136475,151397264.7870896756649017,38.3202911195306726,0.0067463221988211
59091.75000,652082469.1826417446136475,151401309.1136926114559174,34.7410450068313850,0.0068321730690907
59092.00000,652104069.1826417446136475,151403873.5132388174533844,32.9694534756426023,0.0059410652569086
59092.25000,652125669.1826417446136475,151404949.1710495054721832,33.0336590395370848,0.0044117459254915
59092.50000,652147269.1826417446136475,151404557.7610034942626953,34.5789028060934527,0.0028902394801894
59092.75000,652168869.1826417446136475,151402742.0574591159820557,37.0819544762182645,0.0017055016097834
59093.00000,652190469.1826417446136475,151399557.0884017944335938,40.0757755901285080,0.0008493010070759
59093.25000,652212069.1826417446136475,151395063.3204345107078552,43.2337577810230584,0.0002174971230131
59093.50000,652233669.1826417446136475,151389322.1363161206245422,46.3560880550890744,-0.0002750724536167
59093.75000,652255269.1826417446136475,151382393.2052549719810486,49.3305340924063032,-0.0006803970655945
59094.00000,652276869.1826417446136475,151374333.1673381328582764,52.0989127544294206,-0.0010279959982438
59094.25000,652298469.1826417446136475,151365195.1241194903850555,54.6345948329480962,-0.0013347917345357
59094.50000,652320069.1826417446136475,151355028.5724052190780640,56.9287263223162086,-0.0016109376816354
59094.75000,652341669.1826417446136475,151343879.5526323318481445,58.9821229068823243,-0.0018628944725892
59095.00000,652363269.1826417446136475,151331790.8812757730484009,60.8006104279033863,-0.0020950216330869
59095.25000,652384869.1826417446136475,151318802.3996406793594360,62.3924026547548038,-0.0023104156031812
59095.50000,652406469.1826417446136475,151304951.2083227038383484,63.7666701187474487,-0.0025113661837537
59095.75000,652428069.1826417446136475,151290271.8766645789146423,64.9328005073029288,-0.0026996147919553
59096.00000,652449669.1826417446136475,151274796.6264832019805908,65.9000568059147014,-0.0028765054700140
59096.25000,652471269.1826417446136475,151258555.4936439692974091,66.6774598473268441,-0.0030430749543371
59096.50000,652492869.1826417446136475,151241576.4723999500274658,67.2737925060163775,-0.0032001064460750
59096.75000,652514469.1826417446136475,151223885.6473305225372314,67.6976643418435486,-0.0033481610167084
59097.00000,652536069.1826417446136475,151205507.3170393407344818,67.9576002746989616,-0.0034875950968894
59097.25000,652557669.1826417446136475,151186464.1129163503646851,68.0621319080620140,-0.0036185695992970
59097.50000,652579269.1826417446136475,151166777.1154482066631317,68.0198794769388684,-0.0037410544755529
59097.75000,652600869.1826417446136475,151146465.9698353409767151,67.8396184497026553,-0.0038548313350298
59098.00000,652622469.1826417446136475,151125549.0020765960216522,67.5303288596362563,-0.0039594958225415
59098.25000,652644069.1826417446136475,151104043.3362038433551788,67.1012283073465028,-0.0040544606750466
59098.50000,652665669.1826417446136475,151081965.0129761695861816,66.5617449589017269,-0.0041326349294782
59098.75000,652687269.1826417446136475,151059329.1100594401359558,65.9216332438828374,-0.0041933435633635
59099.00000,652708869.1826417446136475,151036149.8635112047195435,65.1909665732769383,-0.0042440305668983
