# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60390.000000,764251269.182642,435027.559863,18.072807,-38.054935
60390.020000,764252997.182642,435128.677671,17.989710,-38.096147
60390.040000,764254725.182641,435230.314416,17.923663,-38.137314
60390.060000,764256453.182641,435332.471979,17.875023,-38.177730
60390.080000,764258181.182641,435435.152243,17.844149,-38.216691
60390.100000,764259909.182640,435538.357089,17.831398,-38.253491
60390.120000,764261637.182640,435642.088399,17.837126,-38.287423
60390.140000,764263365.182640,435746.348054,17.861692,-38.317781
60390.160000,764265093.182640,435851.137937,17.905453,-38.343861
60390.180000,764266821.182639,435956.459929,17.968765,-38.364956
60390.200000,764268549.182639,436062.315912,18.051988,-38.380360
60390.220000,764270277.182639,436168.707768,18.155477,-38.389369
60390.240000,764272005.182639,436275.637378,18.279591,-38.391275
60390.260000,764273733.182638,436383.106625,18.424686,-38.385373
60390.280000,764275461.182638,436491.117390,18.591121,-38.370957
60390.300000,764277189.182638,436599.671555,18.779253,-38.347322
60390.320000,764278917.182637,436708.771002,18.989438,-38.313762
60390.340000,764280645.182637,436818.417612,19.222035,-38.269571
60390.360000,764282373.182637,436928.613268,19.477400,-38.214044
60390.380000,764284101.182636,437039.359851,19.755892,-38.146473
60390.400000,764285829.182636,437150.659242,20.057868,-38.066155
60390.420000,764287557.182636,437262.513324,20.383684,-37.972382
60390.440000,764289285.182636,437374.923979,20.733699,-37.864450
60390.460000,764291013.182635,437487.893088,21.108270,-37.741652
60390.480000,764292741.182635,437601.422532,21.507754,-37.603282
60390.500000,764294469.182635,437715.514195,21.932509,-37.448636
60390.520000,764296197.182634,437830.169762,22.382614,-37.276913
60390.540000,764297925.182634,437945.390138,22.857035,-37.086940
60390.560000,764299653.182634,438061.176032,23.354460,-36.877452
60390.580000,764301381.182634,438177.528155,23.873578,-36.647180
60390.600000,764303109.182633,438294.447216,24.413077,-36.394860
60390.620000,764304837.182633,438411.933924,24.971646,-36.119223
60390.640000,764306565.182633,438529.988990,25.547971,-35.819005
60390.660000,764308293.182633,438648.613122,26.140743,-35.492937
60390.680000,764310021.182632,438767.807031,26.748648,-35.139753
60390.700000,764311749.182632,438887.571425,27.370375,-34.758187
60390.720000,764313477.182632,439007.907015,28.004612,-34.346973
60390.740000,764315205.182632,439128.814509,28.650048,-33.904842
60390.760000,764316933.182631,439250.294566,29.305344,-33.430578
60390.780000,764318661.182631,439372.346617,29.968566,-32.924045
60390.800000,764320389.182631,439494.968876,30.637180,-32.386198
60390.820000,764322117.182631,439618.159500,31.308628,-31.818037
60390.840000,764323845.182630,439741.916648,31.980350,-31.220562
60390.860000,764325573.182630,439866.238477,32.649789,-30.594773
60390.880000,764327301.182630,439991.123147,33.314384,-29.941673
60390.900000,764329029.182629,440116.568816,33.971577,-29.262260
60390.920000,764330757.182629,440242.573642,34.618810,-28.557535
60390.940000,764332485.182629,440369.135784,35.253523,-27.828499
60390.960000,764334213.182629,440496.253399,35.873157,-27.076152
60390.980000,764335941.182628,440623.924647,36.475154,-26.301494
60391.000000,764337669.182628,440752.147685,37.056954,-25.505527
60391.020000,764339397.182628,440880.920235,37.616420,-24.689547
60391.040000,764341125.182627,441010.238270,38.153094,-23.856041
60391.060000,764342853.182627,441140.097328,38.666938,-23.007791
60391.080000,764344581.182627,441270.492945,39.157916,-22.147580
60391.100000,764346309.182626,441401.420658,39.625991,-21.278190
60391.120000,764348037.182626,441532.876004,40.071126,-20.402405
60391.140000,764349765.182626,441664.854518,40.493283,-19.523007
60391.160000,764351493.182626,441797.351739,40.892427,-18.642778
60391.180000,764353221.182626,441930.363202,41.268519,-17.764503
60391.200000,764354949.182625,442063.884445,41.621524,-16.890963
60391.220000,764356677.182625,442197.911004,41.951403,-16.024941
60391.240000,764358405.182625,442332.438415,42.258120,-15.169221
60391.260000,764360133.182624,442467.462170,42.541662,-14.326539
60391.280000,764361861.182624,442602.976678,42.802562,-13.498604
60391.300000,764363589.182624,442738.975273,43.041902,-12.686092
60391.320000,764365317.182624,442875.451240,43.260784,-11.889636
60391.340000,764367045.182623,443012.397866,43.460313,-11.109869
60391.360000,764368773.182623,443149.808437,43.641594,-10.347421
60391.380000,764370501.182623,443287.676237,43.805731,-9.602927
60391.400000,764372229.182622,443425.994554,43.953827,-8.877017
60391.420000,764373957.182622,443564.756672,44.086988,-8.170325
60391.440000,764375685.182622,443703.955879,44.206316,-7.483482
60391.460000,764377413.182622,443843.585459,44.312918,-6.817121
60391.480000,764379141.182621,443983.638699,44.407896,-6.171874
60391.500000,764380869.182621,444124.108884,44.492356,-5.548373
60391.520000,764382597.182621,444264.989024,44.567302,-4.947064
60391.540000,764384325.182621,444406.271022,44.633348,-4.367639
60391.560000,764386053.182620,444547.946504,44.691008,-3.809606
60391.580000,764387781.182620,444690.007097,44.740797,-3.272471
60391.600000,764389509.182620,444832.444429,44.783230,-2.755740
60391.620000,764391237.182619,444975.250124,44.818820,-2.258920
60391.640000,764392965.182619,445118.415810,44.848082,-1.781517
60391.660000,764394693.182619,445261.933113,44.871531,-1.323038
60391.680000,764396421.182619,445405.793660,44.889682,-0.882989
60391.700000,764398149.182618,445549.989078,44.903049,-0.460876
60391.720000,764399877.182618,445694.510993,44.912145,-0.056207
60391.740000,764401605.182618,445839.351031,44.917487,0.331514
60391.760000,764403333.182617,445984.500797,44.919581,0.702777
60391.780000,764405061.182617,446129.951378,44.918771,1.058061
60391.800000,764406789.182617,446275.693343,44.915238,1.397825
60391.820000,764408517.182617,446421.717240,44.909154,1.722529
60391.840000,764410245.182616,446568.013617,44.900694,2.032632
60391.860000,764411973.182616,446714.573021,44.890031,2.328593
60391.880000,764413701.182616,446861.385999,44.877337,2.610873
60391.900000,764415429.182616,447008.443099,44.862787,2.879931
60391.920000,764417157.182615,447155.734868,44.846553,3.136226
60391.940000,764418885.182615,447303.251854,44.828809,3.380217
60391.960000,764420613.182615,447450.984603,44.809728,3.612365
60391.980000,764422341.182615,447598.923665,44.789483,3.833128
60392.000000,764424069.182614,447747.059585,44.768249,4.042966
60392.020000,764425797.182614,447895.382814,44.746176,4.242313
60392.040000,764427525.182614,448043.883408,44.723331,4.431492
60392.060000,764429253.182613,448192.551328,44.699762,4.610802
60392.080000,764430981.182613,448341.376531,44.675512,4.780541
60392.100000,764432709.182613,448490.348979,44.650628,4.941007
60392.120000,764434437.182613,448639.458630,44.625155,5.092499
60392.140000,764436165.182612,448788.695443,44.599140,5.235314
60392.160000,764437893.182612,448938.049378,44.572627,5.369751
60392.180000,764439621.182612,449087.510393,44.545662,5.496107
60392.200000,764441349.182611,449237.068450,44.518291,5.614682
60392.220000,764443077.182611,449386.713506,44.490560,5.725772
60392.240000,764444805.182611,449536.435521,44.462515,5.829677
60392.260000,764446533.182610,449686.224450,44.434199,5.926692
60392.280000,764448261.182610,449836.070148,44.405641,6.017055
60392.300000,764449989.182610,449985.962368,44.376849,6.100947
60392.320000,764451717.182610,450135.890859,44.347831,6.178549
60392.340000,764453445.182609,450285.845373,44.318597,6.250039
60392.360000,764455173.182609,450435.815656,44.289155,6.315596
60392.380000,764456901.182609,450585.791461,44.259512,6.375399
60392.400000,764458629.182609,450735.762534,44.229678,6.429626
60392.420000,764460357.182608,450885.718628,44.199661,6.478458
60392.440000,764462085.182608,451035.649489,44.169469,6.522073
60392.460000,764463813.182608,451185.544869,44.139111,6.560650
60392.480000,764465541.182608,451335.394517,44.108594,6.594367
60392.500000,764467269.182607,451485.188182,44.077928,6.623405
60392.520000,764468997.182607,451634.915624,44.047120,6.647930
60392.540000,764470725.182607,451784.566648,44.016168,6.668064
60392.560000,764472453.182606,451934.131068,43.985072,6.683916
60392.580000,764474181.182606,452083.598698,43.953829,6.695595
60392.600000,764475909.182606,452232.959353,43.922439,6.703211
60392.620000,764477637.182606,452382.202848,43.890899,6.706874
60392.640000,764479365.182605,452531.318997,43.859207,6.706692
60392.660000,764481093.182605,452680.297615,43.827363,6.702776
60392.680000,764482821.182605,452829.128516,43.795363,6.695235
60392.700000,764484549.182605,452977.801516,43.763208,6.684179
60392.720000,764486277.182604,453126.306428,43.730894,6.669716
60392.740000,764488005.182604,453274.633068,43.698420,6.651957
60392.760000,764489733.182604,453422.771254,43.665784,6.631009
60392.780000,764491461.182603,453570.710931,43.632985,6.606963
60392.800000,764493189.182603,453718.442162,43.600017,6.579888
60392.820000,764494917.182603,453865.955019,43.566879,6.549854
60392.840000,764496645.182603,454013.239571,43.533565,6.516929
60392.860000,764498373.182602,454160.285889,43.500074,6.481183
60392.880000,764500101.182602,454307.084044,43.466400,6.442684
60392.900000,764501829.182602,454453.624106,43.432542,6.401503
60392.920000,764503557.182601,454599.896145,43.398494,6.357707
60392.940000,764505285.182601,454745.890232,43.364255,6.311367
60392.960000,764507013.182601,454891.596437,43.329819,6.262551
