# epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
60390.000000,764251269.182642,-310537.997569,249423.156518,174937.757214,-0.993172,-0.766409,-0.525173
60390.020000,764252997.182642,-312249.971707,248096.885947,174026.255980,-0.987318,-0.768185,-0.529728
60390.040000,764254725.182641,-313951.549196,246767.700819,173106.985967,-0.981428,-0.769919,-0.534207
60390.060000,764256453.182641,-315642.707575,245435.655805,172180.069436,-0.975504,-0.771612,-0.538612
60390.080000,764258181.182641,-317323.424384,244100.805575,171245.628647,-0.969548,-0.773263,-0.542942
60390.100000,764259909.182640,-318993.677163,242763.204797,170303.785862,-0.963561,-0.774874,-0.547198
60390.120000,764261637.182640,-320653.443452,241422.908141,169354.663341,-0.957544,-0.776445,-0.551381
60390.140000,764263365.182640,-322302.700791,240079.970278,168398.383345,-0.951499,-0.777977,-0.555490
60390.160000,764265093.182640,-323941.426720,238734.445875,167435.068135,-0.945428,-0.779471,-0.559527
60390.180000,764266821.182639,-325569.598778,237386.389603,166464.839972,-0.939331,-0.780927,-0.563490
60390.200000,764268549.182639,-327187.194505,236035.856131,165487.821115,-0.933210,-0.782347,-0.567381
60390.220000,764270277.182639,-328794.191442,234682.900129,164504.133827,-0.927067,-0.783731,-0.571200
60390.240000,764272005.182639,-330390.567128,233327.576265,163513.900368,-0.920903,-0.785079,-0.574947
60390.260000,764273733.182638,-331976.299102,231969.939211,162517.242999,-0.914720,-0.786392,-0.578623
60390.280000,764275461.182638,-333551.364906,230610.043634,161514.283981,-0.908519,-0.787672,-0.582227
60390.300000,764277189.182638,-335115.742079,229247.944205,160505.145573,-0.902301,-0.788918,-0.585761
60390.320000,764278917.182637,-336669.408160,227883.695593,159489.950039,-0.896068,-0.790132,-0.589224
60390.340000,764280645.182637,-338212.340690,226517.352467,158468.819637,-0.889821,-0.791314,-0.592617
60390.360000,764282373.182637,-339744.517208,225148.969498,157441.876629,-0.883563,-0.792466,-0.595940
60390.380000,764284101.182636,-341265.915254,223778.601354,156409.243275,-0.877293,-0.793586,-0.599194
60390.400000,764285829.182636,-342776.512368,222406.302705,155371.041838,-0.871014,-0.794678,-0.602378
60390.420000,764287557.182636,-344276.286091,221032.128220,154327.394576,-0.864728,-0.795740,-0.605493
60390.440000,764289285.182636,-345765.213961,219656.132569,153278.423752,-0.858435,-0.796774,-0.608540
60390.460000,764291013.182635,-347243.273519,218278.370422,152224.251625,-0.852137,-0.797781,-0.611518
60390.480000,764292741.182635,-348710.442305,216898.896447,151165.000457,-0.845836,-0.798761,-0.614429
60390.500000,764294469.182635,-350166.697858,215517.765315,150100.792509,-0.839533,-0.799715,-0.617271
60390.520000,764296197.182634,-351612.023278,214135.028615,149031.747592,-0.833229,-0.800643,-0.620046
60390.540000,764297925.182634,-353046.423898,212750.725619,147957.975721,-0.826925,-0.801547,-0.622755
60390.560000,764299653.182634,-354469.910611,211364.892519,146879.584464,-0.820623,-0.802427,-0.625398
60390.580000,764301381.182634,-355882.494312,209977.565507,145796.681386,-0.814323,-0.803283,-0.627976
60390.600000,764303109.182633,-357284.185893,208588.780775,144709.374054,-0.808025,-0.804116,-0.630490
60390.620000,764304837.182633,-358674.996247,207198.574515,143617.770034,-0.801731,-0.804927,-0.632941
60390.640000,764306565.182633,-360054.936268,205806.982919,142521.976893,-0.795442,-0.805716,-0.635329
60390.660000,764308293.182633,-361424.016848,204414.042180,141422.102197,-0.789158,-0.806484,-0.637655
60390.680000,764310021.182632,-362782.248881,203019.788489,140318.253513,-0.782880,-0.807232,-0.639921
60390.700000,764311749.182632,-364129.643261,201624.258039,139210.538406,-0.776610,-0.807959,-0.642126
60390.720000,764313477.182632,-365466.210879,200227.487021,138099.064444,-0.770347,-0.808667,-0.644272
60390.740000,764315205.182632,-366791.962630,198829.511628,136983.939192,-0.764094,-0.809356,-0.646360
60390.760000,764316933.182631,-368106.909651,197430.367851,135865.269855,-0.757850,-0.810027,-0.648390
60390.780000,764318661.182631,-369411.068695,196030.087066,134743.155294,-0.751616,-0.810679,-0.650363
60390.800000,764320389.182631,-370704.462129,194628.696034,133617.686028,-0.745393,-0.811315,-0.652280
60390.820000,764322117.182631,-371987.112565,193226.221316,132488.952216,-0.739181,-0.811934,-0.654142
60390.840000,764323845.182630,-373259.042617,191822.689471,131357.044015,-0.732981,-0.812536,-0.655949
60390.860000,764325573.182630,-374520.274896,190418.127060,130222.051581,-0.726793,-0.813122,-0.657703
60390.880000,764327301.182630,-375770.832015,189012.560643,129084.065071,-0.720618,-0.813692,-0.659404
60390.900000,764329029.182629,-377010.736585,187606.016780,127943.174643,-0.714456,-0.814247,-0.661053
60390.920000,764330757.182629,-378240.011219,186198.522032,126799.470455,-0.708308,-0.814787,-0.662651
60390.940000,764332485.182629,-379458.678530,184790.102960,125653.042662,-0.702173,-0.815312,-0.664199
60390.960000,764334213.182629,-380666.761128,183380.786122,124503.981423,-0.696054,-0.815824,-0.665697
60390.980000,764335941.182628,-381864.281628,181970.598080,123352.376895,-0.689949,-0.816322,-0.667147
60391.000000,764337669.182628,-383051.262640,180559.565393,122198.319234,-0.683859,-0.816806,-0.668549
60391.020000,764339397.182628,-384227.727994,179147.713367,121041.895723,-0.677786,-0.817278,-0.669903
