# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60390.000000,764251269.182642,43497.373845,0.000294,-0.000059
60390.020000,764252997.182642,43593.052365,-0.000050,0.000058
60390.040000,764254725.182641,43692.191450,-0.000314,0.000148
60390.060000,764256453.182641,43794.737801,-0.000503,0.000212
60390.080000,764258181.182641,43900.638117,-0.000622,0.000253
60390.100000,764259909.182640,44009.839101,-0.000678,0.000271
60390.120000,764261637.182640,44122.287453,-0.000675,0.000270
60390.140000,764263365.182640,44237.929875,-0.000620,0.000251
60390.160000,764265093.182640,44356.713067,-0.000516,0.000216
60390.180000,764266821.182639,44478.583730,-0.000370,0.000166
60390.200000,764268549.182639,44603.488566,-0.000188,0.000104
60390.220000,764270277.182639,44731.374276,0.000027,0.000031
60390.240000,764272005.182639,44862.187560,0.000267,-0.000051
60390.260000,764273733.182638,44995.875120,0.000528,-0.000139
60390.280000,764275461.182638,45132.383657,0.000804,-0.000233
60390.300000,764277189.182638,45271.659871,0.001091,-0.000330
60390.320000,764278917.182637,45413.650465,0.001381,-0.000428
60390.340000,764280645.182637,45558.302138,0.001671,-0.000526
60390.360000,764282373.182637,45705.561593,0.001955,-0.000622
60390.380000,764284101.182636,45855.375529,0.002227,-0.000713
60390.400000,764285829.182636,46007.690649,0.002482,-0.000798
60390.420000,764287557.182636,46162.453652,0.002715,-0.000876
60390.440000,764289285.182636,46319.611241,0.002920,-0.000943
60390.460000,764291013.182635,46479.110116,0.003091,-0.000999
60390.480000,764292741.182635,46640.896978,0.003224,-0.001042
60390.500000,764294469.182635,46804.918529,0.003313,-0.001069
60390.520000,764296197.182634,46971.121505,0.003355,-0.001080
60390.540000,764297925.182634,47139.452787,0.003355,-0.001075
60390.560000,764299653.182634,47309.859292,0.003322,-0.001055
60390.580000,764301381.182634,47482.287935,0.003262,-0.001023
60390.600000,764303109.182633,47656.685635,0.003185,-0.000979
60390.620000,764304837.182633,47832.999307,0.003098,-0.000925
60390.640000,764306565.182633,48011.175868,0.003009,-0.000862
60390.660000,764308293.182633,48191.162234,0.002926,-0.000793
60390.680000,764310021.182632,48372.905323,0.002856,-0.000717
60390.700000,764311749.182632,48556.352050,0.002807,-0.000637
60390.720000,764313477.182632,48741.449333,0.002788,-0.000555
60390.740000,764315205.182632,48928.144088,0.002807,-0.000471
60390.760000,764316933.182631,49116.383369,0.002870,-0.000386
60390.780000,764318661.182631,49306.117404,0.002978,-0.000303
60390.800000,764320389.182631,49497.299590,0.003123,-0.000219
60390.820000,764322117.182631,49689.883465,0.003299,-0.000135
60390.840000,764323845.182630,49883.822566,0.003497,-0.000049
60390.860000,764325573.182630,50079.070429,0.003711,0.000037
60390.880000,764327301.182630,50275.580591,0.003931,0.000125
60390.900000,764329029.182629,50473.306589,0.004152,0.000216
60390.920000,764330757.182629,50672.201960,0.004364,0.000309
60390.940000,764332485.182629,50872.220240,0.004562,0.000405
60390.960000,764334213.182629,51073.314966,0.004736,0.000505
60390.980000,764335941.182628,51275.439675,0.004880,0.000609
60391.000000,764337669.182628,51478.547903,0.004986,0.000717
60391.020000,764339397.182628,51682.594467,0.005048,0.000830
60391.040000,764341125.182627,51887.539297,0.005068,0.000948
60391.060000,764342853.182627,52093.343604,0.005053,0.001069
60391.080000,764344581.182627,52299.968597,0.005005,0.001194
60391.100000,764346309.182626,52507.375487,0.004930,0.001323
60391.120000,764348037.182626,52715.525484,0.004833,0.001454
60391.140000,764349765.182626,52924.379797,0.004717,0.001587
60391.160000,764351493.182626,53133.899637,0.004587,0.001722
60391.180000,764353221.182626,53344.046214,0.004449,0.001859
60391.200000,764354949.182625,53554.780738,0.004305,0.001997
60391.220000,764356677.182625,53766.064419,0.004163,0.002135
60391.240000,764358405.182625,53977.858467,0.004024,0.002273
60391.260000,764360133.182624,54190.124253,0.003895,0.002411
60391.280000,764361861.182624,54402.826841,0.003777,0.002548
60391.300000,764363589.182624,54615.934989,0.003667,0.002681
60391.320000,764365317.182624,54829.417616,0.003563,0.002809
60391.340000,764367045.182623,55043.243641,0.003465,0.002930
60391.360000,764368773.182623,55257.381982,0.003369,0.003042
60391.380000,764370501.182623,55471.801559,0.003274,0.003143
60391.400000,764372229.182622,55686.471290,0.003178,0.003231
60391.420000,764373957.182622,55901.360094,0.003079,0.003304
60391.440000,764375685.182622,56116.436890,0.002975,0.003361
