# epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
60390.000000,764251269.182642,-279127.075427,252716.836051,145029.110024,-0.719867,-0.583739,-0.297227
60390.020000,764252997.182642,-280368.502856,251705.822910,144514.174987,-0.716936,-0.586433,-0.298773
60390.040000,764254725.182641,-281604.847154,250690.158629,143996.569583,-0.713994,-0.589116,-0.300314
60390.060000,764256453.182641,-282836.088941,249669.864247,143476.304699,-0.711039,-0.591787,-0.301848
60390.080000,764258181.182641,-284062.208841,248644.960806,142953.391227,-0.708073,-0.594446,-0.303377
60390.100000,764259909.182640,-285283.187474,247615.469347,142427.840056,-0.705095,-0.597093,-0.304899
60390.120000,764261637.182640,-286499.005463,246581.410913,141899.662077,-0.702104,-0.599729,-0.306415
60390.140000,764263365.182640,-287709.643430,245542.806543,141368.868180,-0.699103,-0.602353,-0.307926
60390.160000,764265093.182640,-288915.081996,244499.677279,140835.469254,-0.696089,-0.604965,-0.309430
60390.180000,764266821.182639,-290115.301784,243452.044163,140299.476190,-0.693064,-0.607565,-0.310928
60390.200000,764268549.182639,-291310.283414,242399.928236,139760.899878,-0.690027,-0.610153,-0.312419
60390.220000,764270277.182639,-292500.007509,241343.350538,139219.751207,-0.686979,-0.612729,-0.313905
60390.240000,764272005.182639,-293684.454692,240282.332112,138676.041069,-0.683919,-0.615293,-0.315384
60390.260000,764273733.182638,-294863.605582,239216.893998,138129.780353,-0.680847,-0.617845,-0.316857
60390.280000,764275461.182638,-296037.440804,238147.057238,137580.979948,-0.677765,-0.620385,-0.318324
60390.300000,764277189.182638,-297205.940978,237072.842874,137029.650746,-0.674671,-0.622913,-0.319785
60390.320000,764278917.182637,-298369.086726,235994.271945,136475.803636,-0.671565,-0.625428,-0.321239
60390.340000,764280645.182637,-299526.858670,234911.365494,135919.449509,-0.668449,-0.627932,-0.322687
60390.360000,764282373.182637,-300679.237432,233824.144562,135360.599253,-0.665321,-0.630423,-0.324129
60390.380000,764284101.182636,-301826.203633,232732.630190,134799.263760,-0.662183,-0.632902,-0.325564
60390.400000,764285829.182636,-302967.737897,231636.843420,134235.453920,-0.659033,-0.635369,-0.326993
60390.420000,764287557.182636,-304103.820844,230536.805292,133669.180622,-0.655872,-0.637824,-0.328416
60390.440000,764289285.182636,-305234.433096,229432.536848,133100.454756,-0.652700,-0.640266,-0.329832
60390.460000,764291013.182635,-306359.555275,228324.059129,132529.287213,-0.649517,-0.642696,-0.331242
60390.480000,764292741.182635,-307479.168004,227211.393177,131955.688883,-0.646324,-0.645113,-0.332646
60390.500000,764294469.182635,-308593.251903,226094.560032,131379.670656,-0.643120,-0.647518,-0.334042
60390.520000,764296197.182634,-309701.787845,224973.580881,130801.243506,-0.639905,-0.649911,-0.335433
60390.540000,764297925.182634,-310804.757700,223848.477482,130220.418752,-0.636679,-0.652291,-0.336817
60390.560000,764299653.182634,-311902.143587,222719.271741,129637.207795,-0.633443,-0.654658,-0.338194
60390.580000,764301381.182634,-312993.927628,221585.985562,129051.622039,-0.630196,-0.657013,-0.339565
60390.600000,764303109.182633,-314080.091942,220448.640849,128463.672884,-0.626938,-0.659355,-0.340930
60390.620000,764304837.182633,-315160.618650,219307.259506,127873.371733,-0.623670,-0.661685,-0.342288
60390.640000,764306565.182633,-316235.489871,218161.863438,127280.729990,-0.620392,-0.664002,-0.343639
