# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60390.000000,764251269.182642,149322882.161926,43.871375,0.005909
60390.020000,764252997.182642,149325326.125768,43.106909,0.005642
60390.040000,764254725.182641,149327760.930711,42.348702,0.005441
60390.060000,764256453.182641,149330186.557259,41.597021,0.005301
60390.080000,764258181.182641,149332602.985917,40.852132,0.005218
60390.100000,764259909.182640,149335010.197191,40.114300,0.005188
60390.120000,764261637.182640,149337408.171586,39.383791,0.005205
60390.140000,764263365.182640,149339796.889608,38.660870,0.005266
60390.160000,764265093.182640,149342176.331760,37.945803,0.005366
60390.180000,764266821.182639,149344546.478549,37.238855,0.005499
60390.200000,764268549.182639,149346907.310480,36.540293,0.005662
60390.220000,764270277.182639,149349258.808058,35.850381,0.005851
60390.240000,764272005.182639,149351600.951788,35.169386,0.006059
60390.260000,764273733.182638,149353933.722175,34.497573,0.006284
60390.280000,764275461.182638,149356257.099724,33.835208,0.006520
60390.300000,764277189.182638,149358571.064942,33.182556,0.006763
60390.320000,764278917.182637,149360875.598332,32.539883,0.007008
60390.340000,764280645.182637,149363170.680400,31.907455,0.007251
60390.360000,764282373.182637,149365456.291652,31.285536,0.007487
60390.380000,764284101.182636,149367732.412592,30.674394,0.007711
60390.400000,764285829.182636,149369999.023726,30.074293,0.007920
60390.420000,764287557.182636,149372256.105558,29.485499,0.008108
60390.440000,764289285.182636,149374503.638595,28.908277,0.008271
60390.460000,764291013.182635,149376741.603341,28.342894,0.008404
60390.480000,764292741.182635,149378969.980302,27.789615,0.008503
60390.500000,764294469.182635,149381188.749982,27.248705,0.008564
60390.520000,764296197.182634,149383397.898182,26.720448,0.008582
60390.540000,764297925.182634,149385597.431884,26.205191,0.008562
60390.560000,764299653.182634,149387787.363364,25.703302,0.008507
60390.580000,764301381.182634,149389967.704899,25.215148,0.008423
60390.600000,764303109.182633,149392138.468765,24.741093,0.008313
60390.620000,764304837.182633,149394299.667239,24.281504,0.008183
60390.640000,764306565.182633,149396451.312598,23.836748,0.008036
60390.660000,764308293.182633,149398593.417118,23.407191,0.007878
60390.680000,764310021.182632,149400725.993076,22.993199,0.007713
60390.700000,764311749.182632,149402849.052749,22.595138,0.007546
60390.720000,764313477.182632,149404962.608413,22.213374,0.007380
60390.740000,764315205.182632,149407066.672344,21.848274,0.007221
60390.760000,764316933.182631,149409161.257050,21.500199,0.007072
60390.780000,764318661.182631,149411246.380322,21.169399,0.006935
60390.800000,764320389.182631,149413322.065237,20.856012,0.006808
60390.820000,764322117.182631,149415388.335102,20.560170,0.006686
60390.840000,764323845.182630,149417445.213224,20.282007,0.006567
60390.860000,764325573.182630,149419492.722909,20.021657,0.006449
60390.880000,764327301.182630,149421530.887465,19.779251,0.006328
60390.900000,764329029.182629,149423559.730198,19.554924,0.006201
