# epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
60390.000000,764251269.182642,149008364.179185,1272676.214255,551159.836855,0.198838,27.425892,11.888226
60390.020000,764252997.182642,149008698.880302,1320068.051341,571702.641223,0.188547,27.425770,11.888168
60390.040000,764254725.182641,149009015.798862,1367459.674306,592245.344932,0.178257,27.425645,11.888109
60390.060000,764256453.182641,149009314.935394,1414851.077735,612787.945658,0.167966,27.425516,11.888049
60390.080000,764258181.182641,149009596.290424,1462242.256213,633330.441074,0.157676,27.425384,11.887987
60390.100000,764259909.182640,149009859.864483,1509633.204325,653872.828855,0.147386,27.425250,11.887924
60390.120000,764261637.182640,149010105.658098,1557023.916655,674415.106675,0.137097,27.425112,11.887860
60390.140000,764263365.182640,149010333.671798,1604414.387789,694957.272207,0.126808,27.424970,11.887794
60390.160000,764265093.182640,149010543.906111,1651804.612312,715499.323127,0.116519,27.424826,11.887727
60390.180000,764266821.182639,149010736.361565,1699194.584808,736041.257107,0.106231,27.424679,11.887659
60390.200000,764268549.182639,149010911.038688,1746584.299863,756583.071823,0.095942,27.424528,11.887589
60390.220000,764270277.182639,149011067.938009,1793973.752061,777124.764949,0.085654,27.424374,11.887518
60390.240000,764272005.182639,149011207.060057,1841362.935988,797666.334158,0.075367,27.424218,11.887446
60390.260000,764273733.182638,149011328.405358,1888751.846229,818207.777125,0.065079,27.424058,11.887372
60390.280000,764275461.182638,149011431.974443,1936140.477368,838749.091523,0.054792,27.423895,11.887297
60390.300000,764277189.182638,149011517.767839,1983528.823990,859290.275028,0.044506,27.423728,11.887221
60390.320000,764278917.182637,149011585.786074,2030916.880681,879831.325313,0.034219,27.423559,11.887143
60390.340000,764280645.182637,149011636.029677,2078304.642025,900372.240053,0.023933,27.423387,11.887064
60390.360000,764282373.182637,149011668.499177,2125692.102608,920913.016921,0.013647,27.423211,11.886983
60390.380000,764284101.182636,149011683.195100,2173079.257014,941453.653591,0.003362,27.423032,11.886901
60390.400000,764285829.182636,149011680.117977,2220466.099829,961994.147739,-0.006923,27.422850,11.886818
60390.420000,764287557.182636,149011659.268334,2267852.625636,982534.497037,-0.017208,27.422665,11.886734
60390.440000,764289285.182636,149011620.646701,2315238.829023,1003074.699161,-0.027493,27.422477,11.886648
60390.460000,764291013.182635,149011564.253606,2362624.704572,1023614.751783,-0.037777,27.422286,11.886561
60390.480000,764292741.182635,149011490.089577,2410010.246869,1044154.652580,-0.048061,27.422091,11.886472
60390.500000,764294469.182635,149011398.155142,2457395.450500,1064694.399224,-0.058345,27.421894,11.886382
60390.520000,764296197.182634,149011288.450832,2504780.310051,1085233.989390,-0.068628,27.421693,11.886291
60390.540000,764297925.182634,149011160.977190,2552164.820120,1105773.420761,-0.078911,27.421489,11.886199
60390.560000,764299653.182634,149011015.734758,2599548.975305,1126312.691017,-0.089194,27.421282,11.886105
60390.580000,764301381.182634,149010852.724082,2646932.770205,1146851.797840,-0.099476,27.421072,11.886009
60390.600000,764303109.182633,149010671.945706,2694316.199419,1167390.738913,-0.109758,27.420859,11.885913
60390.620000,764304837.182633,149010473.400173,2741699.257547,1187929.511918,-0.120040,27.420643,11.885815
60390.640000,764306565.182633,149010257.088028,2789081.939187,1208468.114535,-0.130321,27.420423,11.885716
60390.660000,764308293.182633,149010023.009815,2836464.238938,1229006.544448,-0.140602,27.420201,11.885615
60390.680000,764310021.182632,149009771.166079,2883846.151400,1249544.799338,-0.150883,27.419975,11.885513
60390.700000,764311749.182632,149009501.557363,2931227.671171,1270082.876887,-0.161164,27.419746,11.885410
60390.720000,764313477.182632,149009214.184212,2978608.792851,1290620.774777,-0.171444,27.419514,11.885305
60390.740000,764315205.182632,149008909.047169,3025989.511038,1311158.490690,-0.181724,27.419279,11.885199
